,fluxes,reduced_costs
DM_4crsol_c,0.0001117882204047241,-2.0
DM_5drib_c,0.00011279080534108934,-2.0
DM_aacald_c,-0.0,-2.0
DM_amob_c,1.0025849363652386e-06,-2.0
DM_mththf_c,0.00022457902574582816,-2.0
DM_oxam_c,-0.0,-2.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,12966.243792460875
BIOMASS_Ec_iJO1366_core_53p95M,0.5012924681826193,-1.999999999985448
EX_12ppd__R_e,-0.0,-2.0
EX_12ppd__S_e,-0.0,-2.0
EX_14glucan_e,0.0,149.8692729349559
EX_15dap_e,-0.0,-2.0
EX_23camp_e,0.0,3049.6736027601432
EX_23ccmp_e,0.0,703.8271539786065
EX_23cgmp_e,0.0,3259.335123893394
EX_23cump_e,0.0,395.1809236436664
EX_23dappa_e,0.0,51.190184959533816
EX_26dap__M_e,0.0,364.1888633317456
EX_2ddglcn_e,0.0,55.58083418056723
EX_34dhpac_e,-0.0,-2.0
EX_3amp_e,0.0,3195.3694180869256
EX_3cmp_e,0.0,854.652496130731
EX_3gmp_e,0.0,3405.0309392201766
EX_3hcinnm_e,-0.0,-2.0
EX_3hpp_e,-0.0,-2.0
EX_3hpppn_e,0.0,2.5647634126709944
EX_3ump_e,0.0,546.0062657957909
EX_4abut_e,0.0,838.4944089619037
EX_4hoxpacd_e,-0.0,-2.0
EX_5dglcn_e,0.0,50.87547123364132
EX_5mtr_e,-0.0,-2.0
EX_LalaDglu_e,0.0,818.8672881985068
EX_LalaDgluMdap_e,0.0,4851.06874600797
EX_LalaDgluMdapDala_e,0.0,4925.5563915603425
EX_LalaLglu_e,0.0,892.207295131133
EX_ac_e,13.190822089315056,-2.0
EX_acac_e,0.0,47.84946215000817
EX_acald_e,0.0,36.00970604085504
EX_acgal_e,-0.0,-2.0
EX_acgal1p_e,0.0,-0.5647634126709944
EX_acgam_e,0.0,225.89282734202837
EX_acgam1p_e,0.0,232.45759075469937
EX_acmana_e,0.0,209.372888364934
EX_acmum_e,0.0,181.9633250636952
EX_acnam_e,0.0,142.8447389924894
EX_acolipa_e,-0.0,-2.0
EX_acser_e,-0.0,-2.0
EX_ade_e,0.0,3067.0427981535345
EX_adn_e,0.0,3248.7175695021724
EX_adocbl_e,-0.0,-2.0
EX_ag_e,-0.0,-2.0
EX_agm_e,0.0,1538.3099374370313
EX_akg_e,0.0,414.91074960379353
EX_ala_B_e,0.0,91.63000876965043
EX_ala__D_e,0.0,69.9228821397021
EX_ala__L_e,0.0,80.9013057400265
EX_alaala_e,0.0,169.65747134596933
EX_all__D_e,-0.0,-2.0
EX_alltn_e,0.0,59.41605340018932
EX_amp_e,0.0,3236.6195879982606
EX_anhgm_e,0.0,283.18654698166773
EX_arab__L_e,0.0,41.2591519409766
EX_arbt_e,-0.0,-2.0
EX_arbtn_e,-0.0,-2.0
EX_arbtn_fe3_e,-0.0,-2.0
EX_arg__L_e,0.0,1177.9246216044073
EX_ascb__L_e,0.0,25.584630405739407
EX_asn__L_e,0.0,407.75682293584003
EX_aso3_e,-0.0,-2.0
EX_asp__L_e,0.0,93.82155505549919
EX_btn_e,0.0,40104.70650754905
EX_but_e,0.0,957.3306842633497
EX_butso3_e,0.0,2427.2596026001684
EX_ca2_e,-0.002609227296890534,2.0
EX_cbi_e,-0.0,-2.0
EX_cbl1_e,0.0,2.0
EX_cd2_e,0.0,2.5647634126709944
EX_cgly_e,0.0,3456.1895383223223
EX_chol_e,-0.0,-2.0
EX_chtbs_e,0.0,347.68760467977137
EX_cit_e,0.0,131.161264615654
EX_cl_e,-0.002609227296890534,2.0
EX_cm_e,-0.0,-2.0
EX_cmp_e,0.0,890.7731392167245
EX_co2_e,13.040438359199953,-2.0
EX_cobalt2_e,-1.2532311704565484e-05,2.0
EX_colipa_e,-0.0,-2.0
EX_colipap_e,-0.0,-2.0
EX_cpgn_e,0.0,-2.0
EX_cpgn_un_e,-0.0,-2.0
EX_crn_e,-0.0,-2.0
EX_crn__D_e,-0.0,-2.0
EX_csn_e,0.0,452.5600863751789
EX_cu_e,0.0,-1.0763516657192769
EX_cu2_e,-0.00035541635994147707,2.0
EX_cyan_e,-0.0,-2.0
EX_cynt_e,-0.0,-2.0
EX_cys__D_e,0.0,1853.732585114902
EX_cys__L_e,0.0,2803.829999785294
EX_cytd_e,0.0,911.8086474720186
EX_dad_2_e,0.0,3214.7715611144513
EX_damp_e,0.0,3180.349383999277
EX_dca_e,0.0,1248.605213720835
EX_dcmp_e,0.0,1049.1540191691345
EX_dcyt_e,0.0,1083.5761962843087
EX_ddca_e,0.0,1401.2946480044966
EX_dgmp_e,0.0,3455.5292078392386
EX_dgsn_e,0.0,3498.8889117057956
EX_dha_e,-0.0,-2.0
EX_dimp_e,0.0,2885.801719428306
EX_din_e,0.0,2886.6216168006877
EX_dms_e,-0.0,-2.0
EX_dmso_e,-0.0,-2.0
EX_dopa_e,-0.0,-2.0
EX_doxrbcn_e,0.0,2.5647634126709944
EX_dtmp_e,0.0,505.21137140321594
EX_dump_e,0.0,566.9253654741568
EX_duri_e,0.0,624.3521229174385
EX_eca4colipa_e,-0.0,-2.0
EX_enlipa_e,-0.0,-2.0
EX_enter_e,-0.0,-2.0
EX_etha_e,0.0,12.996340432287468
EX_ethso3_e,0.0,1824.1572323329062
EX_etoh_e,0.0,10.410931718436391
EX_f6p_e,0.0,72.69589648070654
EX_fald_e,0.0,2.5647634126709944
EX_fe2_e,-0.00805125833148105,2.0
EX_fe3_e,0.0,-2.0
EX_fe3dcit_e,0.0,184.31344833471627
EX_fe3dhbzs_e,-0.0,-2.0
EX_fe3hox_e,-0.0,-2.0
EX_fe3hox_un_e,-0.0,-2.0
EX_fecrm_e,-0.0,-2.0
EX_fecrm_un_e,0.0,-2.0
EX_feenter_e,-0.0,-2.0
EX_feoxam_e,0.0,-2.0
EX_feoxam_un_e,-0.0,-2.0
EX_for_e,0.0,57.00776985021383
EX_fru_e,0.0,39.289003730375335
EX_frulys_e,0.0,455.6248671693169
EX_fruur_e,-0.0,-2.0
EX_fuc__L_e,-0.0,-2.0
EX_fum_e,0.0,57.077645241818296
EX_fusa_e,-0.0,-2.0
