,fluxes,reduced_costs
DM_4crsol_c,0.00011178821993806821,-2.0
DM_5drib_c,0.00011279080487024819,-2.0
DM_aacald_c,-0.0,-2.0
DM_amob_c,1.002584932179984e-06,-2.0
DM_mththf_c,0.00022457902480831445,-2.0
DM_oxam_c,-0.0,-2.0
BIOMASS_Ec_iJO1366_WT_53p95M,0.0,13729.721844385374
BIOMASS_Ec_iJO1366_core_53p95M,0.501292466089992,-1.999999999985448
EX_12ppd__R_e,-0.0,-2.0
EX_12ppd__S_e,-0.0,-2.0
EX_14glucan_e,0.0,68.64950709475698
EX_15dap_e,-0.0,-2.0
EX_23camp_e,0.0,3198.287639730792
EX_23ccmp_e,0.0,746.3794949051763
EX_23cgmp_e,0.0,3339.03656664738
EX_23cump_e,0.0,208.53909321207956
EX_23dappa_e,0.0,43.955096389128364
EX_26dap__M_e,0.0,385.1002252793097
EX_2ddglcn_e,0.0,57.829802814849515
EX_34dhpac_e,-0.0,-2.0
EX_3amp_e,0.0,3353.0733865849884
EX_3cmp_e,0.0,901.1652417593726
EX_3gmp_e,0.0,3484.637054914336
EX_3hcinnm_e,0.0,82.15770722900085
EX_3hpp_e,-0.0,-2.0
EX_3hpppn_e,0.0,40.294987394570946
EX_3ump_e,0.0,363.3248400662759
EX_4abut_e,0.0,878.4881228894885
EX_4hoxpacd_e,-0.0,-2.0
EX_5dglcn_e,0.0,34.549094201514045
EX_5mtr_e,-0.0,-2.0
EX_LalaDglu_e,0.0,445.5011148711121
EX_LalaDgluMdap_e,0.0,1190.6461539383647
EX_LalaDgluMdapDala_e,0.0,1273.9832731111965
EX_LalaLglu_e,0.0,513.1758549020233
EX_ac_e,13.190821459104352,-2.0
EX_acac_e,0.0,43.03938564545119
EX_acald_e,0.0,23.901612419649734
EX_acgal_e,-0.0,-2.0
EX_acgal1p_e,-0.0,-2.0
EX_acgam_e,0.0,221.23275473508124
EX_acgam1p_e,0.0,239.01064261594126
EX_acmana_e,0.0,200.61375207163292
EX_acmum_e,0.0,172.7442871349342
EX_acnam_e,0.0,134.18238392740892
EX_acolipa_e,-0.0,-2.0
EX_acser_e,-0.0,-2.0
EX_ade_e,0.0,3268.5273064927305
EX_adn_e,0.0,3409.3497551383957
EX_adocbl_e,-0.0,-2.0
EX_ag_e,-0.0,-2.0
EX_agm_e,0.0,582.31711659459
EX_akg_e,0.0,433.6688086014498
EX_ala_B_e,0.0,94.70385166207105
EX_ala__D_e,0.0,68.39929663953241
