,fluxes,reduced_costs
ALATA_D2,0.0,2108.345129884191
SHCHD2,5.653351268268348e-05,-2.0
CPPPGO,5.653351268268348e-05,-2.0
DHORD5,0.0,9.310236691873257
GLYCTO2,0.0,49.75537456514893
GLYCTO3,0.0,61.065611257013764
GLYCTO4,0.0,61.06561125700999
PFK_3,0.0,190.84042218600752
TRPS2,0.0,3577.4262068786634
G3PD5,0.0,49.526647847077044
EX_acgam_e,0.0,427.7039859701247
EX_cellb_e,-0.0,-2.0
EX_chol_e,0.0,395.2695951912616
LEUTAi,0.11421569507821556,-2.0000000000004547
G5SD,0.05604042890614617,-1.999999999999929
ALATA_L2,0.0,2083.471040477494
APRAUR,0.00011306702536538283,-2.0
DB4PS,0.00022613405073076566,-2.0
RBFK,5.653351268269935e-05,-2.0
ACP1_FMN,0.0,2250.431287907896
RBFSb,0.00011306702536538283,-1.9999999999990905
EX_pi_e,-0.2445406525744831,2.0
EX_h_e,17.61529608963759,-2.0
DMATT,7.047675572101316e-05,-1.999999999999261
GRTT,7.047675572101316e-05,-2.0
UPP3S,0.00011306702536536696,-2.0
UPPDC1,5.653351268268348e-05,-2.000000000007276
EX_ade_e,0.0,10369.101828112418
EX_4abut_e,0.0,2917.264699166158
EX_ac_e,15.28574320927868,-2.0
EX_akg_e,0.0,1423.990816178214
EX_ala__L_e,0.0,203.02605450154272
EX_arg__L_e,0.0,3812.269111459465
EX_asp__L_e,0.0,307.1209056111997
EX_cytd_e,0.0,3169.6099446413036
EX_dcyt_e,0.0,1815.4964097949012
EX_fum_e,0.0,202.53185941582572
EX_glu__L_e,0.0,1499.8849555656234
EX_gua_e,0.0,10301.979519728953
IMPD,0.06166158395867148,-2.0
GLUTRS,0.0009045362029229357,-2.0
TMPPP,5.653351268268348e-05,-2.0
URIK1,0.0,321.0988832097827
URIK2,0.0,727.209900797725
CYTDK1,0.0,329.24004940886994
CYTDK2,0.0,319.4926571711253
XPPT,0.0,171.51571497692782
HXPRT,0.0,246.8138519588117
OMPDC,0.08386100147026135,-2.0
CS,0.27257569761578404,-2.000000000003638
ACS,0.0,306.4597480812339
PPA,0.8878641404652554,-2.0
PPCK,0.0,339.52885485692536
ME1,0.0,228.9840820236883
XYLK,0.0,-1.999999999999659
RBK,0.0,219.34442131491704
GLYK,0.0,211.50201300338077
FBP,0.0,238.11279236310236
GLGC,0.0,-2.0000000000009095
PYK,0.0,2072447.780061257
EX_met__L_e,0.0,13423.37823438291
EX_metsox_S__L_e,0.0,13304.98442884809
ACHBS,0.07365302648514506,-2.0
ACLS,0.2216638470126468,-2.0
ANS,0.014410468436868953,-2.0
ANPRT,0.014410468436868953,-2.0
CHORM,0.08198221284922383,-2.0
CHORS,0.09661881533682351,-2.0
IGPS,0.014410468436868953,-2.0
EX_crn_e,-0.0,-2.0
EX_fe3_e,0.0,2.0
EX_glcn_e,0.0,107.29532197493953
EX_gln__L_e,0.0,1601.387340396028
EX_glyc_e,0.0,322.60783959821555
EX_man_e,0.0,15.120483963355532
EX_mn2_e,-0.00017517783526338243,2.0
EX_rib__D_e,-0.0,-2.0
EX_sbt__D_e,-0.0,-2.0
MGSA,0.0,248.50981303590686
PPS,0.0,528.089704614594
EDA,0.0,30.150090561166785
PGL,0.1500308161734889,-2.0
G6PDA,0.0,527.1048513410551
ALDD2y,0.0,391.30109129920197
EX_ura_e,0.0,1457.8457239952918
EX_val__L_e,0.0,2008.6998131397543
EX_xan_e,0.0,8975.369317189687
FMNAT,5.653351268269935e-05,-2.000000000007276
NADDP,0.0,696.5251479583651
NMNAT,0.0,1234.2717984320534
HMPK1,0.0,-2.0000000000004547
PTRCTA,0.0,-2.0000000000004547
CYSDS,0.0,5210.925061448826
NDP3,0.0,202.08562989790397
CDPPH,0.0,204.7161693991674
NDP7,0.0,202.63115105800173
EX_co2_e,15.210098327147133,-2.0
PMDPHT,0.00011306702536538283,-2.0
RBFSa,0.00022613405073076566,-2.0000000000009095
DHAD2,0.07365302648514506,-2.0
G1PP,0.0,192.49220792626355
PFL,0.4492368404249376,-1.999999999992724
FRD2,0.0,14.698860809757946
FRD3,0.0,149.22184957941062
POX,0.0,202.03093696514574
EX_hxan_e,0.0,8874.518708544028
EX_ile__L_e,0.0,4000.600760100811
EX_lac__L_e,0.0,116.9983853405669
EX_leu__L_e,0.0,5009.6117995429595
EX_no3_e,-0.0,-2.0
EX_orn_e,0.0,3012.0467720897072
EX_pro__L_e,0.0,1747.1653466745815
EX_pyr_e,0.0,65.68900405708976
EX_succ_e,0.0,180.38088152626347
EX_thymd_e,0.0,1519.4776352681897
EX_tyr__L_e,0.0,3067.094816690843
MOAT,0.004932358846431793,-2.0
UDCPDPS,1.394324303832968e-05,-2.0
USHD,0.004932358846431793,-2.0
LPADSS,0.004932358846431793,-2.0
TDSK,0.004932358846431793,-2.0
EX_btn_e,0.0,155817.16248373114
EX_ptrc_e,0.0,6085.144828972404
EX_spmd_e,-0.0,-2.0
EX_thym_e,-0.0,-2.0
EX_xtsn_e,0.0,9283.452838650624
NTPP1,0.0,908.6966774784992
NTPP2,0.0,844.6466412381299
NTPTP1,0.0,813.6031750217023
NTPTP2,0.0,706.9322860757622
IPMD,0.11421569507821556,-1.9999999999995453
EX_fe2_e,-0.004071680480702149,2.0
RNDR1,0.0,13995.174801673485
RNDR3,0.0,13984.117435230808
RNDR4,0.0,13252.814763122451
TMDS,0.006633434497108052,-1.9999999999990905
TMDK1,0.0,-2.0000000000004547
PPCDC,0.00017086810559847898,-2.0
FTHFD,0.0,225.6073842581236
EX_glc__D_e,-10.0,24.70877888302615
EDD,0.0,-2.0
DHQTi,0.09661881533682351,-2.0
DHAD1,0.2216638470126468,-2.0
EX_alltn_e,0.0,57.83253903001418
G3PD7,0.0,183.65741066859067
NADH9,0.0,9.310236691901554
NADH10,0.0,9.310236691901554
PYDXNK,0.0,1427.0732724597103
PYAM5PO,0.0,5651.807819782614
EX_dgsn_e,0.0,10850.733270811394
EX_arab__L_e,0.0,126.19709182349834
EX_fru_e,0.0,18.151266727893493
EX_gal_e,0.0,33.02335299784567
EX_xyl__D_e,-0.0,-2.0
EX_duri_e,0.0,1835.0369543460354
EX_for_e,0.0,363.4977667887965
EX_gly_e,0.0,2621.08659884196
EX_h2_e,-0.0,-2.0
EX_lys__L_e,0.0,1344.4510743277024
EX_ser__L_e,0.0,3354.750289502589
EX_thm_e,0.0,60006.263916634525
EX_trp__L_e,0.0,21145.683569905694
GLUTRR,0.0009045362029229357,-2.0
GLCS1,0.0,-2.0
GLCP,0.0,338.58292308937894
EX_din_e,0.0,9370.236173838965
EX_fmn_e,-0.0,-2.0
EX_gthox_e,-0.0,-2.0
HEMEOS,0.0,-2.0
ADMDC,0.0,-2.0
AGMT,0.0,-1.9999999999997833
ARGDC,0.0,154.27095864742898
ARGSS,0.07498726808715835,-2.0
SPMS,0.0,76756.95508447538
KDOCT2,0.009864717692863586,-2.0000000000002274
OAADC,0.0,217.84898452390735
MNNH,0.0,-2.0
ALTRH,0.0,-2.0
UAGDP,0.023953984512831376,-2.0
UAGCVT,0.007044633409983895,-2.0
EX_acald_e,0.0,52.77477871483398
EX_melib_e,0.0,4.292113175362196
MACPD,0.0,-2.0
DMQMT,0.0,-1.999999999994543
ICHORS_copy1,0.0,-2.0
EX_sucr_e,-0.0,-2.0
EX_tre_e,0.0,129.98053196236
EX_zn2_e,-8.644810683764603e-05,2.0
DNMPPA,0.00016960053804804254,-2.0
HPPK2,0.00016960053804804254,-2.0
PTPATi,0.00017086810559847898,-2.000000000001819
HEX7,0.0,276.9026956778105
DXPRIi,0.0006056437748830943,-2.0
