,fluxes,reduced_costs
G3PD5,0.0,26.511834710327093
EX_acgam_e,0.0,255.57445171618383
EX_cellb_e,-0.0,-2.0
EX_chol_e,-0.0,-2.0
EX_pi_e,-0.24454055713417722,2.0
EX_h_e,17.615290550565025,-2.0
EX_ade_e,0.0,6048.416323127303
EX_4abut_e,-0.0,-2.0
EX_ac_e,15.285738579849617,-2.0
EX_akg_e,0.0,886.050435057558
EX_ala__L_e,0.0,125.81203513583047
EX_arg__L_e,0.0,2249.2925226566963
EX_asp__L_e,0.0,139.76187842195623
EX_cytd_e,0.0,1727.6285871566433
EX_dcyt_e,0.0,1323.6363542920974
EX_fum_e,0.0,114.75274070931499
EX_glu__L_e,0.0,861.3116693760641
EX_gua_e,0.0,5988.708030853729
EX_met__L_e,0.0,7528.551782452354
EX_metsox_S__L_e,0.0,7584.82383280625
EX_crn_e,0.0,42.13705131085682
EX_fe3_e,0.0,-2.0
EX_glcn_e,0.0,60.96929131274851
EX_gln__L_e,0.0,920.8558132861423
EX_glyc_e,0.0,588.3707870118559
EX_man_e,0.0,3.899212802469095
EX_mn2_e,-0.00017517776685996425,2.0
EX_rib__D_e,0.0,7.18523839298372
EX_sbt__D_e,0.0,3.248810094530982
EX_ura_e,0.0,728.6080590209218
EX_val__L_e,0.0,1094.8365746353052
EX_xan_e,0.0,5087.739012144756
EX_co2_e,15.210093727255874,-2.0
EX_hxan_e,0.0,5509.952293982984
EX_ile__L_e,0.0,2236.522016191687
EX_lac__L_e,0.0,444.55737882934545
EX_leu__L_e,0.0,2814.5908277613503
EX_no3_e,-0.0,-2.0
EX_orn_e,0.0,1714.4282573404594
EX_pro__L_e,0.0,1019.8010330757289
EX_pyr_e,0.0,35.423771084372895
EX_succ_e,0.0,96.96776363692778
EX_thymd_e,0.0,1064.655582133112
EX_tyr__L_e,0.0,1774.9814026824126
EX_btn_e,0.0,86177.08968502723
EX_ptrc_e,-0.0,-2.0
EX_spmd_e,-0.0,-2.0
EX_thym_e,0.0,285.63011458957595
EX_xtsn_e,0.0,5289.097999652925
EX_fe2_e,-0.004071678890792888,2.0
EX_glc__D_e,-9.999887512460422,2.0
EX_alltn_e,0.0,109.61407510607118
EX_dgsn_e,0.0,6660.075471595473
EX_arab__L_e,0.0,458.4467283311546
EX_fru_e,0.0,1.337612344309357
EX_gal_e,0.0,27.52527196562543
EX_xyl__D_e,-0.0,-2.0
EX_duri_e,0.0,1323.6012597818956
EX_for_e,0.0,146.86423774352207
EX_gly_e,0.0,1490.9228215103387
