,fluxes,reduced_costs
ALATA_D2,0.0,4759.333118000296
SHCHD2,0.00014796754185816762,-2.0
CPPPGO,0.00014796754185816762,-2.0
DHORD5,0.0,-1.99999999999185
GLYCTO2,0.0002959350837164476,-1.999999999985448
GLYCTO3,0.0,-1.999999999995623
GLYCTO4,0.0,-1.999999999988347
PFK_3,0.0,323.9745016869085
TRPS2,0.0,3456.58898237433
G3PD5,0.0,27.20768875669455
EX_acgam_e,0.0,2159.119310202791
EX_cellb_e,0.0,2044.7782231616816
EX_chol_e,-0.0,-2.0
LEUTAi,0.2989415452955252,-2.0000000000009095
SHK3Dr,0.2528844914145426,-1.9999999999979536
G5SD,0.14667697293927015,-2.0000000000000924
ALATA_L2,0.0,4644.996156761312
APRAUR,0.0002959350837163352,-2.0
DB4PS,0.0005918701674326704,-2.0
RBFK,0.0001479675418581676,-2.000000000003638
ACP1_FMN,0.0,2645.2556389409565
RBFSb,0.0002959350837163352,-2.0
EX_pi_e,-0.6400465411732963,2.0
EX_h_e,8.726929985137913,-2.0
DMATT,0.00018446177863932976,-1.9999999999995168
GRTT,0.00018446177863932976,-2.0
UPP3S,0.00029593508371633523,-2.0
UPPDC1,0.00014796754185816762,-1.999999999985448
EX_ade_e,0.0,15070.125474877055
EX_4abut_e,0.0,2008.5090094154268
EX_ac_e,2.630137098850536,-2.0
EX_akg_e,0.0,1366.6616926113543
EX_ala__L_e,0.0,689.9438596231813
EX_arg__L_e,0.0,9039.462135862617
EX_asp__L_e,0.0,1045.4151702388278
EX_cytd_e,0.0,6182.895098368946
EX_dcyt_e,0.0,7027.365546946364
EX_fum_e,0.0,991.9323167452603
EX_glu__L_e,0.0,1650.4418639811267
EX_gua_e,0.0,13903.138686371047
IMPD,0.16138945861470144,-2.0
GLUTRS,0.002367480669730682,-2.000000000001819
TMPPP,0.00014796754185816762,-2.0
URIK1,0.0,-2.0
URIK2,0.0,1851.097379044836
CYTDK1,0.0,-2.0
CYTDK2,0.0,10.254324597510106
XPPT,0.0,412.7409392552711
HXPRT,0.0,1214.9660887299378
OMPDC,0.21949292829135675,-2.0
CS,7.967254837266911,-1.999999999996362
ACS,0.0,530.7677660587477
PPA,2.087260004372329,-2.0
PPCK,0.0,730.5048659398853
ME1,0.0,503.8410939908923
XYLK,0.0,-2.0
RBK,0.0,703.3657722528981
GLYK,0.0,474.3283956320949
FBP,0.0,518.9109928981812
GLGC,0.0,-2.0
PYK,1.5776479786995168,-2.000000000009095
EX_met__L_e,0.0,21678.95828902533
EX_metsox_S__L_e,0.0,21904.58463664229
ACHBS,0.19277516577807882,-2.0
ACLS,0.5801701151206304,-2.0000000000001137
ANS,0.037717125479120275,-2.0
ANPRT,0.037717125479120275,-2.0
CHORM,0.21457549576798962,-2.0
CHORS,0.2528844914145426,-2.0
IGPS,0.037717125479120275,-2.0
EX_crn_e,-0.0,-2.0
EX_fe3_e,-0.0,-2.0
EX_glcn_e,0.0,913.1201277284838
EX_gln__L_e,0.0,1648.9410933494348
EX_glyc_e,0.0,1458.444376772239
EX_man_e,0.0,789.0840670620306
EX_mn2_e,-0.0004585003202869678,2.0
EX_rib__D_e,0.0,886.305908131612
EX_sbt__D_e,0.0,1154.7178712816362
MGSA,0.0,758.1697798319806
PPS,0.0,511.80436994340926
EDA,5.04142042437267,-2.0000000000001137
PGL,5.434250360869319,-2.0
G6PDA,0.0,1194.31347787525
ALDD2y,0.0,292.639038919739
EX_ura_e,0.0,2103.7317492590314
EX_val__L_e,0.0,6213.923321887282
EX_xan_e,0.0,12707.20725357573
FMNAT,0.0001479675418581676,-2.000000000014552
NADDP,0.0,-2.0
NMNAT,0.0,1373.7177798069183
HMPK1,0.0,-2.0
PTRCTA,0.0,-2.0
CYSDS,0.0,5262.374994635403
NDP3,0.0,455.5323363084469
CDPPH,0.0,471.6427792284912
NDP7,0.0,469.9231903774557
EX_co2_e,27.504802796063412,-2.0
PMDPHT,0.0002959350837163352,-2.0
RBFSa,0.0005918701674326704,-2.0
DHAD2,0.19277516577807882,-2.0
G1PP,0.0,396.3117935354155
PFL,0.07223403815834117,-2.0
FRD2,0.0,139.00875761208107
FRD3,0.0,262.8045268332661
POX,0.0,340.0735334054015
EX_hxan_e,0.0,12730.034098819702
EX_ile__L_e,0.0,6928.798378157384
EX_lac__L_e,0.0,620.769803066773
EX_leu__L_e,0.0,15647.950873247626
EX_no3_e,0.0,189.04541688153827
EX_orn_e,0.0,7285.809094756419
EX_pro__L_e,0.0,2412.5690967093838
EX_pyr_e,0.0,366.716101447167
EX_succ_e,0.0,1027.7177662851082
EX_thymd_e,0.0,4841.567862552719
EX_tyr__L_e,0.0,4783.568525645906
MOAT,0.012909670378441747,-2.000000000007276
UDCPDPS,3.649423678116215e-05,-2.0
USHD,0.012909670378441747,-2.0
LPADSS,0.012909670378441747,-2.0
TDSK,0.012909670378441747,-2.0
EX_btn_e,0.0,127477.98340297566
EX_ptrc_e,0.0,7418.280668667769
EX_spmd_e,-0.0,-2.0
EX_thym_e,-0.0,-2.0
EX_xtsn_e,0.0,14027.339668715926
NTPP1,0.0,1010.5679616839587
NTPP2,0.0,1194.9404998676578
NTPTP1,0.0,317.0528441331961
NTPTP2,0.0,961.7975571196367
IPMD,0.2989415452955252,-2.0
EX_fe2_e,-0.010656980671677266,2.0
RNDR1,0.0,5649.002175682199
RNDR3,0.0,5612.23920188967
RNDR4,0.0,5699.7808258681025
TMDS,0.01736196726574356,-2.0
TMDK1,0.0,-1.9999999999990905
PPCDC,0.0004472202834643335,-2.0
FTHFD,0.0,79.45959806097977
EX_glc__D_e,-10.0,980.7135104234402
