,fluxes,reduced_costs
G3PD5,0.0,68.4230958824046
EX_acgam_e,0.0,6348.152340693833
EX_cellb_e,0.0,5939.162073569858
EX_chol_e,-0.0,-2.0
EX_pi_e,-0.6400426460709072,2.0
EX_h_e,8.727087610106953,-2.0
EX_ade_e,0.0,44664.19227631561
EX_4abut_e,0.0,2625.251351721721
EX_ac_e,2.630331826796449,-2.0
EX_akg_e,0.0,4372.415668262705
EX_ala__L_e,0.0,2025.03230855838
EX_arg__L_e,0.0,26408.742534356337
EX_asp__L_e,0.0,3056.446605580136
EX_cytd_e,0.0,18246.291793603003
EX_dcyt_e,0.0,12406.606905129322
EX_fum_e,0.0,2929.1980029121305
EX_glu__L_e,0.0,4819.801434307047
EX_gua_e,0.0,41162.1307281711
EX_met__L_e,0.0,64576.69892610299
EX_metsox_S__L_e,0.0,63245.536419342236
EX_crn_e,0.0,405.70061788685433
EX_fe3_e,0.0,2.0
EX_glcn_e,0.0,2326.777952563315
EX_gln__L_e,0.0,4754.117101931293
EX_glyc_e,0.0,2930.149011808763
EX_man_e,0.0,2373.6530726218525
EX_mn2_e,-0.0004584975300123278,2.0
EX_rib__D_e,0.0,583.2206341659374
EX_sbt__D_e,0.0,3197.0010761385515
EX_ura_e,0.0,5844.1096324078935
EX_val__L_e,0.0,18560.17649723384
EX_xan_e,0.0,36526.11978167866
EX_co2_e,27.504579082509935,-2.0
EX_hxan_e,0.0,36582.40033580098
EX_ile__L_e,0.0,21228.69283463327
EX_lac__L_e,0.0,1377.2273912759733
EX_leu__L_e,0.0,46833.26932201259
EX_no3_e,0.0,260.2217887172586
EX_orn_e,0.0,21665.234999077275
EX_pro__L_e,0.0,7070.709813539189
EX_pyr_e,0.0,1100.748710674536
EX_succ_e,0.0,3040.3543819017855
EX_thymd_e,0.0,14193.208411409787
EX_tyr__L_e,0.0,14100.910668618098
EX_btn_e,0.0,380267.6820579867
EX_ptrc_e,0.0,1761.9143931652984
EX_spmd_e,-0.0,-2.0
EX_thym_e,-0.0,-2.0
EX_xtsn_e,0.0,40739.6612173125
EX_fe2_e,-0.0106569158169725,2.0
EX_glc__D_e,-10.0,2946.541615312446
EX_alltn_e,0.0,1684.7299345538665
EX_dgsn_e,0.0,47305.95889939674
EX_arab__L_e,0.0,2041.5829215249196
EX_fru_e,0.0,2765.2621781955713
EX_gal_e,0.0,2227.9357877884568
EX_xyl__D_e,0.0,1895.0754530078516
EX_duri_e,0.0,12291.643066794615
EX_for_e,0.0,5156.159749182557
EX_gly_e,0.0,6790.185398057403
EX_h2_e,0.0,272.84419188591426
EX_lys__L_e,0.0,12253.489680736571
EX_ser__L_e,0.0,12202.871413188479
EX_thm_e,0.0,276626.5638880359
EX_trp__L_e,0.0,47292.42040635201
EX_din_e,0.0,42574.9823142462
EX_fmn_e,0.0,116085.94725482119
EX_gthox_e,0.0,114442.4173322735
EX_acald_e,0.0,3045.4024261148625
EX_melib_e,0.0,5371.525224003907
EX_sucr_e,0.0,67.10787885365991
EX_tre_e,0.0,6059.584718555658
EX_zn2_e,-0.00022626289107699534,2.0
DNMPPA,0.0004438999241363484,-1.9999999999998295
HEX4,0.0,709.2280571873953
CMPN,0.0,-1.9999999999995453
ALDD4,0.0,-2.0
URIC,0.0,-2.000000000000057
EX_tmao_e,-0.0,-2.0
EX_26dap__M_e,0.0,10679.180746886605
EX_acnam_e,0.0,6223.678420503309
EX_amp_e,0.0,49198.208077651114
EX_dha_e,0.0,774.876974164299
EX_fuc__L_e,-0.0,-2.0
EX_glyald_e,0.0,3674.6352759034394
EX_rmn_e,0.0,4572.63210164649
EX_ttdca_e,0.0,57986.17336484902
EX_glyclt_e,0.0,1630.1342610129502
EX_g6p_e,0.0,4105.7517036054205
EX_2ddglcn_e,0.0,2483.0884347764813
EX_galct__D_e,-0.0,-2.0
EX_idon__L_e,0.0,2259.4151979646454
EX_indole_e,0.0,45051.85642178225
EX_3hcinnm_e,-0.0,-2.0
EX_acmana_e,0.0,5827.631092545841
EX_galur_e,0.0,1989.0402226873261
EX_but_e,0.0,2071.4724202741754
EX_cbl1_e,-0.0,-2.0
EX_gbbtn_e,0.0,32.553939426829956
EX_tma_e,0.0,36.926338951914445
EX_malttr_e,0.0,7926.54117232816
EX_hdcea_e,0.0,110688.22656608475
ACACCT,0.0,-1.9999999999971578
AOBUTDs,0.0,-2.0
NADN,0.0,-2.0
EX_nmn_e,0.0,28448.111402069808
EX_urea_e,-0.0,-2.0
EX_f6p_e,0.0,4125.100450864144
EX_lac__D_e,0.0,1342.3478592367358
EX_ttdcea_e,0.0,85390.0630286924
EX_h2s_e,0.0,36809.233803079354
EX_gthrd_e,0.0,58178.17045183959
ASPCT,0.21949159253318082,-2.0
EX_met__D_e,0.0,32.553939426829956
EX_tartr__L_e,0.0,2131.4636902883826
EX_taur_e,0.0,32627.718825892658
EX_maltpt_e,0.0,14712.884236346212
EX_glcur_e,0.0,179.1005620903543
EX_mmet_e,0.0,72134.09209574218
DM_amob_c,1.3270550796304711e-06,-2.0
EX_mg2_e,-0.005756101407897169,2.0
G5SADs,0.1466760803138569,-2.0
H2SO,0.0,36996.93669965784
EX_acac_e,0.0,1222.6479835143869
EX_adn_e,0.0,49178.72397223547
EX_ins_e,0.0,41433.4388248377
EX_glyc3p_e,0.0,5063.181501346735
EX_lcts_e,0.0,5389.073027326319
EX_nac_e,0.0,5545.46000892763
