,fluxes,reduced_costs
ALATA_D2,0.0,883.8906062548654
SHCHD2,4.021192208633077e-05,-2.000000000007276
CPPPGO,4.021192208633077e-05,-2.0
DHORD5,0.0,-2.0000000000003606
GLYCTO2,0.0,43.853154765662
GLYCTO3,0.0,43.853154765659326
GLYCTO4,0.0,78.80962977395563
PFK_3,0.0,131.25079726211544
TRPS2,0.0,1441.39535684471
G3PD5,0.0,19.87827267141074
EX_acgam_e,0.0,203.77995317268307
EX_cellb_e,-0.0,-2.0
EX_chol_e,-0.0,-2.0
LEUTAi,0.08124088551334838,-2.0
SHK3Dr,0.06872433871578609,-2.0000000000000853
G5SD,0.039861194783828914,-2.0000000000000213
ALATA_L2,0.0,873.1668823545363
APRAUR,8.042384417266156e-05,-2.0
DB4PS,0.0001608476883453231,-2.0
RBFK,4.021192208633078e-05,-2.0
ACP1_FMN,0.0,901.0923229362431
RBFSb,8.042384417266156e-05,-2.0000000000004547
EX_pi_e,-0.17394018527357402,2.0
EX_h_e,13.606247103255441,-2.0
DMATT,5.0129660717488656e-05,-1.9999999999999076
GRTT,5.0129660717488656e-05,-2.0000000000004547
UPP3S,8.042384417266154e-05,-2.0
UPPDC1,4.021192208633077e-05,-2.0
EX_ade_e,0.0,4416.726227649948
EX_4abut_e,0.0,94.36333847607004
EX_ac_e,11.94925119983844,-2.0
EX_akg_e,0.0,654.8613928291036
EX_ala__L_e,0.0,66.59409994726067
EX_arg__L_e,0.0,1825.745298154236
EX_asp__L_e,0.0,111.22623894020582
EX_cytd_e,0.0,1394.27244372984
EX_dcyt_e,0.0,1235.3447320263906
EX_fum_e,0.0,84.78879518472782
EX_glu__L_e,0.0,646.8353085439019
EX_gua_e,0.0,4475.221692421759
IMPD,0.043859486032350056,-2.0000000000004547
GLUTRS,0.0006433907533812923,-2.0
TMPPP,4.021192208633077e-05,-2.0
URIK1,0.0,129.38814391475694
URIK2,0.0,283.0335895025165
CYTDK1,0.0,19.01127677599605
CYTDK2,0.0,14.056575077144412
XPPT,0.0,108.23516705598163
HXPRT,0.0,136.95238266006132
OMPDC,0.05964978819079725,-2.0
CS,0.1938813315329424,-1.9999999999990905
ACS,0.0,167.12358219353928
PPA,0.5673588445195432,-2.0
PPCK,0.0,172.31204539114145
ME1,0.0,128.9152224538325
XYLK,0.0,-1.9999999999997442
RBK,0.0,113.85624206301719
GLYK,0.0,254.6142439240345
FBP,0.0,133.63397115070023
GLGC,0.0,-2.0
PYK,0.0,790387.9935150321
EX_met__L_e,0.0,5444.400832665708
EX_metsox_S__L_e,0.0,5325.429996218101
ACHBS,0.05238892157766633,-2.0
ACLS,0.15766806134017353,-2.0000000000000036
ANS,0.010250073036561882,-2.0
ANPRT,0.010250073036561882,-2.0
CHORM,0.05831341799087887,-2.0
CHORS,0.06872433871578609,-2.0
IGPS,0.010250073036561882,-2.0
EX_crn_e,-0.0,-2.0
EX_fe3_e,0.0,2.0
EX_glcn_e,0.0,37.770177508045485
EX_gln__L_e,0.0,697.6045597525417
EX_glyc_e,0.0,285.72892088716685
EX_man_e,0.0,-1.6567854600431131
EX_mn2_e,-0.00012460286171145542,2.0
EX_rib__D_e,-0.0,-2.0
EX_sbt__D_e,0.0,2.874166491817266
MGSA,0.0,-2.0
PPS,0.0,250.41161101748133
EDA,0.0,20.1047626335124
PGL,0.10671594960637758,-2.0
G6PDA,0.0,245.08704880535498
ALDD2y,0.0,186.11819880555868
EX_ura_e,0.0,689.6831077179849
EX_val__L_e,0.0,728.5038884523774
EX_xan_e,0.0,3874.659108494073
FMNAT,4.021192208633078e-05,-2.0
NADDP,0.0,827.7243214122966
NMNAT,0.0,-2.0
HMPK1,0.0,-2.0000000000002274
PTRCTA,0.0,-2.0000000000000018
CYSDS,0.0,2107.201889037262
NDP3,0.0,119.89392612986492
CDPPH,0.0,120.8971617083364
NDP7,0.0,120.10197707772397
EX_co2_e,11.8954454842167,-2.0
PMDPHT,8.042384417266156e-05,-2.0
RBFSa,0.0001608476883453231,-2.0
DHAD2,0.05238892157766633,-2.0
G1PP,0.0,127.73313131180149
PFL,0.319539260312224,-2.0
FRD2,0.0,9.919353792267753
FRD3,0.0,26.267277897234766
POX,0.0,63.67441953446004
EX_hxan_e,0.0,3821.112026099726
EX_ile__L_e,0.0,1612.8730604402062
EX_lac__L_e,0.0,322.24722312414127
EX_leu__L_e,0.0,1924.3516147758817
EX_no3_e,-0.0,-2.0
EX_orn_e,0.0,1356.3907596437843
EX_pro__L_e,0.0,777.6556976222033
EX_pyr_e,0.0,-1.80960127763381
EX_succ_e,0.0,68.91741360305627
EX_thymd_e,0.0,807.5820397796593
EX_tyr__L_e,0.0,1271.441528843763
MOAT,0.0035083549601419347,-1.999999999998181
UDCPDPS,9.917738631157885e-06,-2.0
USHD,0.0035083549601419347,-2.0
LPADSS,0.0035083549601419347,-2.0
TDSK,0.0035083549601419347,-2.0
EX_btn_e,0.0,61527.04677033791
EX_ptrc_e,-0.0,-2.0
EX_spmd_e,-0.0,-2.0
EX_thym_e,-0.0,-2.0
EX_xtsn_e,0.0,4044.4482426285144
NTPP1,0.0,412.44765120884693
NTPP2,0.0,406.53918446644735
NTPTP1,0.0,8.282588158648721
NTPTP2,0.0,242.4802743417602
IPMD,0.08124088551334838,-2.0000000000004547
EX_fe2_e,-0.0028961600028186477,2.0
RNDR1,0.0,5442.044824565668
RNDR3,0.0,5446.499928091359
RNDR4,0.0,5167.595597273343
TMDS,0.004718319073143187,-1.9999999999992042
TMDK1,0.0,-1.9999999999997158
PPCDC,0.00012153737886147487,-2.0
FTHFD,0.0,128.86465659442572
EX_glc__D_e,-10.000000000003345,2.0
EDD,0.0,21.328650658280026
DHQTi,0.06872433871578609,-2.0
DHAD1,0.15766806134017353,-2.0
EX_alltn_e,0.0,56.53970974065511
G3PD7,0.0,101.6760597073878
NADH9,0.0,32.956475008291925
NADH10,0.0,-2.0000000000017115
PYDXNK,0.0,-2.0000000000002274
PYAM5PO,0.0,2089.3530943921705
EX_dgsn_e,0.0,4985.881465321398
EX_arab__L_e,0.0,11.610449901696224
EX_fru_e,0.0,0.7363346366377472
EX_gal_e,-0.0,-2.0
EX_xyl__D_e,0.0,2.874166491817266
EX_duri_e,0.0,1234.2601542746559
EX_for_e,0.0,78.72046998589907
EX_gly_e,0.0,1084.2528080242448
EX_h2_e,0.0,2.874166491817266
EX_lys__L_e,0.0,611.1291467477824
EX_ser__L_e,0.0,1336.9088095086117
EX_thm_e,0.0,24268.358139335287
EX_trp__L_e,0.0,8349.122215560383
GLUTRR,0.0006433907533812923,-2.0000000000004547
GLCS1,0.0,-1.9999999999995453
GLCP,0.0,174.4257651374093
EX_din_e,0.0,4318.092519042793
EX_fmn_e,-0.0,-2.0
EX_gthox_e,-0.0,-2.0
HEMEOS,0.0,-2.0
ADMDC,0.0,-2.0
AGMT,0.0,219.65985990816193
ARGDC,0.0,2492.5330633017184
ARGSS,0.05333795900340785,-1.9999999999998863
SPMS,0.0,27565.60545443384
KDOCT2,0.007016709920283869,-2.0
OAADC,0.0,123.4312774987462
MNNH,0.0,277.3559111231689
ALTRH,0.0,43.905756695803994
UAGDP,0.01703831432328799,-2.0
UAGCVT,0.00501080220150206,-2.0
EX_acald_e,0.0,41.24100483854342
EX_melib_e,0.0,2.874166491817266
MACPD,0.0,-2.0000000000009095
DMQMT,0.0,-2.000000000001819
ICHORS_copy1,0.0,-2.0
EX_sucr_e,-0.0,-2.0
EX_tre_e,0.0,37.19959942453809
EX_zn2_e,-6.148997951317843e-05,2.0
DNMPPA,0.00012063576625900851,-2.0
HPPK2,0.00012063576625900851,-2.0
PTPATi,0.00012153737886147487,-2.0000000000009095
HEX7,0.0,148.42767072148945
DXPRIi,0.0004307905016333914,-2.0
OPHBDC,4.021192208633077e-05,-2.0
OHPHM,0.0,-2.0
DHORD2,0.05963211658378173,-2.0
INSK,0.0,-2.0
ABTA,0.0,-2.0
SSALx,0.0,105.82122761177902
ASPT,0.0,25.815804232289686
SERD_L,0.0,1316.131591329796
THRD,0.0,57.95312966758605
HEX4,0.0,-2.000000000000199
ACCOAC,0.4351799124290116,-2.000000000001819
NADK,8.060416669319892e-05,-1.9999999999995453
SUCBZS,0.0,-2.0
ICHORT,0.0,2713.2934566426256
RBK_L1,0.0,-2.000000000000199
NTD2,0.0,33.89507592263389
NTD4,0.0,147.3768223370148
NTD5,0.0,735.2418263002041
NTD6,0.0,153.96289026534845
LGTHL,0.0,-2.0
PYDXPP,0.0,566.3948830806326
PDXPP,0.0,587.07991045568
DXPS,0.0005112143458060533,-2.0
CDPMEK,0.0004307905016333914,-2.0000000000002274
MECDPS,0.0004307905016333914,-2.0
DDGLK,0.0,-2.000000000000199
ICL,0.0,563.3766527274488
GLYCL,0.0,927.5689619656596
CMPN,0.0,-2.0
HCYSMT,0.0,12161.678715798964
LACZ,0.0,7.509070168770599
TRE6PH,0.0,730.5876595663465
PPC,0.8336634706326527,-2.0
ALDD4,0.0,-2.0
G3PT,0.0,144.0564823884182
CINNDO,0.0,-2.0
DHPPD,0.0,-2.0000000000004547
DHCIND,0.0,56.853093716699945
CITL,0.0,172.99323286805048
GOFUCR,0.0,-2.0
