,fluxes,reduced_costs
G3PD5,0.0,26.511834710327093
EX_acgam_e,0.0,291.2976376926308
EX_cellb_e,-0.0,-2.0
EX_chol_e,0.0,190.8132516207642
EX_pi_e,-0.17394018427625135,2.0
EX_h_e,13.606247044907953,-2.0
EX_ade_e,0.0,6265.72545165126
EX_4abut_e,-0.0,-2.0
EX_ac_e,11.949251150991628,-2.0
EX_akg_e,0.0,849.0275923432326
EX_ala__L_e,0.0,94.17844769757316
EX_arg__L_e,0.0,2572.6733618167023
EX_asp__L_e,0.0,154.34909714920565
EX_cytd_e,0.0,1931.329355955172
EX_dcyt_e,0.0,2230.3938152349565
EX_fum_e,0.0,171.26924131264775
EX_glu__L_e,0.0,920.1204577417667
EX_gua_e,0.0,6339.391142096239
EX_met__L_e,0.0,7772.065335765524
EX_metsox_S__L_e,0.0,7707.162193021228
EX_crn_e,-0.0,-2.0
EX_fe3_e,-0.0,-2.0
EX_glcn_e,0.0,76.55587940204147
EX_gln__L_e,0.0,971.1662179898494
EX_glyc_e,0.0,290.68946950876204
EX_man_e,0.0,14.39683299153197
EX_mn2_e,-0.0001246028609970193,2.0
EX_rib__D_e,0.0,49.60688264136219
EX_sbt__D_e,-0.0,-2.0
EX_ura_e,0.0,814.6416497010515
EX_val__L_e,0.0,1037.9774214096612
EX_xan_e,0.0,5345.750185646989
EX_co2_e,11.895445435678367,-2.0
EX_hxan_e,0.0,5560.122200733457
EX_ile__L_e,0.0,2301.4196396226343
EX_lac__L_e,0.0,380.8825826058327
EX_leu__L_e,0.0,2735.8752065321123
EX_no3_e,-0.0,-2.0
EX_orn_e,0.0,1850.7722527243202
EX_pro__L_e,0.0,1121.1147428280806
EX_pyr_e,0.0,-0.2994148920722708
EX_succ_e,0.0,96.96776363693927
EX_thymd_e,0.0,1119.7825629543404
EX_tyr__L_e,0.0,1797.4317078038803
EX_btn_e,0.0,87693.54043644856
EX_ptrc_e,-0.0,-2.0
EX_spmd_e,-0.0,-2.0
EX_thym_e,0.0,527.816856657113
EX_xtsn_e,0.0,5568.334738942541
EX_fe2_e,-0.0028961599862129188,2.0
EX_glc__D_e,-9.999998418523484,2.0
EX_alltn_e,0.0,76.39959364723246
EX_dgsn_e,0.0,7024.5285292640065
EX_arab__L_e,0.0,468.9443485202166
EX_fru_e,0.0,1.3376123443102665
EX_gal_e,0.0,17.027651776563467
EX_xyl__D_e,0.0,270.81208200411265
EX_duri_e,0.0,1370.830661438221
EX_for_e,0.0,130.81264481279388
EX_gly_e,0.0,1541.233226214022
EX_h2_e,0.0,-2.0
EX_lys__L_e,0.0,861.1563668984495
EX_ser__L_e,0.0,1913.327878322682
EX_thm_e,0.0,34540.63353733731
EX_trp__L_e,0.0,11875.122195102507
EX_din_e,0.0,6153.6182305419625
EX_fmn_e,0.0,20479.723432674422
EX_gthox_e,0.0,16616.396532902378
EX_acald_e,0.0,54.34429898761222
EX_melib_e,-0.0,-2.0
EX_sucr_e,0.0,8.497620189061964
EX_tre_e,0.0,51.713742798516705
EX_zn2_e,-6.1489979160613e-05,2.0
DNMPPA,0.00012063576556729794,-2.000000000000842
HEX4,0.0,177.44264507843388
CMPN,0.0,76.144830224825
ALDD4,0.0,-2.0000000000009095
URIC,0.0,-1.9999999999999991
EX_tmao_e,-0.0,-2.0
EX_26dap__M_e,0.0,671.4278001040975
EX_acnam_e,0.0,190.0218012557653
EX_amp_e,0.0,6457.891332379506
EX_dha_e,5.60146349226335,-2.0
EX_fuc__L_e,-0.0,-2.0
EX_glyald_e,0.0,201.52441080770728
EX_rmn_e,0.0,-2.0
EX_ttdca_e,0.0,558.7114797156343
EX_glyclt_e,0.00012063576556729794,-2.0
EX_g6p_e,0.0,118.38633319199037
EX_2ddglcn_e,0.0,370.57554768850724
EX_galct__D_e,-0.0,-2.0
EX_idon__L_e,0.0,150.0038351804634
EX_indole_e,0.0,11895.578492016619
EX_3hcinnm_e,0.0,-2.0
EX_acmana_e,0.0,315.59426567906576
EX_galur_e,0.0,227.98251505500502
EX_but_e,-0.0,-2.0
EX_cbl1_e,-0.0,-2.0
EX_gbbtn_e,0.0,3.248810094530982
EX_tma_e,-0.0,-2.0
EX_malttr_e,-0.0,-2.0
EX_hdcea_e,0.0,28623.27170862574
ACACCT,0.0,-1.9999999999996998
AOBUTDs,0.0,-2.0
NADN,0.0,-2.000000000000213
EX_nmn_e,0.0,2312.1023687375177
EX_urea_e,-0.0,-2.0
EX_f6p_e,0.0,121.2330391634353
EX_lac__D_e,-0.0,-2.0
EX_ttdcea_e,0.0,310.16616946943634
EX_h2s_e,0.0,4191.619312060175
EX_gthrd_e,0.0,8346.342351197905
ASPCT,0.05964978784878293,-2.0
EX_met__D_e,0.0,3.248810094530982
EX_tartr__L_e,0.0,69.87165998779437
EX_taur_e,0.0,3045.2695285946634
EX_maltpt_e,0.0,27.57481457740799
EX_glcur_e,-0.0,-2.0
