,Reaction,EC
0,SHCHD2,1.3.1.76
1,CPPPGO,1.3.3.3
2,GTHOr,1.8.1.7
3,PFK_3,2.7.1.-
4,PFK_3,2.7.1.11
5,TRPS2,4.2.1.122
6,TRPS2,4.2.1.20
7,LEUTAi,2.6.1.42
8,LEUTAi,2.6.1.6
9,LEUTAi,2.6.1.67
10,SHK3Dr,1.1.1.25
11,SHK3Dr,1.1.1.282
12,G5SD,1.2.1.41
13,MAN6PI,5.3.1.8
14,APRAUR,1.1.1.193
15,DB4PS,4.1.99.12
16,RBFK,2.7.1.26
17,ACP1_FMN,3.1.3.102
18,ACP1_FMN,3.1.3.2
19,RBFSb,2.5.1.9
20,DMATT,2.5.1.1
21,GRTT,2.5.1.10
22,UPP3S,4.2.1.75
23,UPPDC1,4.1.1.37
24,TMDPP,2.4.2.2
25,TMDPP,2.4.2.4
26,HCO3E,4.2.1.1
27,IMPC,2.1.2.3
28,IMPC,3.5.4.10
29,IMPD,1.1.1.205
30,ECOAH4,4.2.1.17
31,ECOAH4,4.2.1.74
32,GLUTRS,6.1.1.-
33,GLUTRS,6.1.1.17
34,GLUTRS,6.1.1.24
35,TMPPP,2.5.1.3
36,URIK1,2.7.1.213
37,URIK1,2.7.1.48
38,URIK2,2.7.1.48
39,CYTDK1,2.7.1.213
40,CYTDK1,2.7.1.48
41,CYTDK2,2.7.1.213
42,CYTDK2,2.7.1.48
43,XPPT,2.4.2.22
44,XPPT,2.4.2.8
45,HXPRT,2.4.2.8
46,NDPK5,2.7.4.6
47,DHORTS,3.5.2.3
48,OMPDC,4.1.1.23
49,CS,2.3.3.1
50,CS,2.3.3.16
51,CS,2.3.3.3
52,ICDHyr,1.1.1.42
53,ACALD,1.2.1.10
54,ACS,6.2.1.1
55,PPA,3.6.1.1
56,PPCK,4.1.1.49
57,ME1,1.1.1.38
58,ME1,1.1.1.39
59,ALAR,5.1.1.1
60,ALATA_L,2.6.1.2
61,XYLK,2.7.1.17
62,RBK,2.7.1.15
63,GLYK,2.7.1.30
64,PPM,5.4.2.-
65,PPM,5.4.2.2
66,PPM,5.4.2.7
67,ASPTA,2.6.1.1
68,FBP,3.1.3.11
69,GLGC,2.7.7.27
70,PYK,2.7.1.40
71,A5PISO,5.3.1.13
72,IPPMIb,4.2.1.33
73,ACHBS,2.2.1.6
74,ACLS,2.2.1.6
75,PSCVT,2.5.1.19
76,ANS,4.1.3.27
77,ANPRT,2.4.2.18
78,CHORM,5.4.99.5
79,CHORS,4.2.3.5
80,IGPS,4.1.1.48
81,ECOAH6,4.2.1.17
82,ECOAH6,4.2.1.74
