KCAT	Homo sapiens	-999	more	*0.119 per mM * s, L-gulonate, steady state kinetic; 10.82 per mM * s, D-glucuronate, steady state kinetic; 1124 per mM * s, NADPH, steady state kinetic
KM	Rattus norvegicus	0.00045	gamma-hydroxybutyrate	*coupled reaction of gamma-hydroxybutyrate oxidation and D-glucuronate reduction, brain and kidney
KM	Mesocricetus auratus	0.0014	NADP+	*coupled reaction of gamma-hydroxybutyrate oxidation and D-glucuronate reduction
KM	Rattus norvegicus	0.0022	gamma-hydroxybutyrate	*kidney
KM	Rattus norvegicus	0.0025	gamma-hydroxybutyrate	*brain
KM	Sus scrofa	0.009	NADPH	*
KM	Sus scrofa	0.02	NADP+	*uncoupled reaction
KM	Sus scrofa	0.02	NADP+	*uncoupled reaction
KM	Mesocricetus auratus	0.02	NADP+	*uncoupled reaction
KM	Mus musculus	0.036	NADPH	*
KM	Bos taurus	0.0543	D-glucuronate	*defined as D-glucuronate reductase; no exact differentiation between organisms in the reference
KM	Rattus norvegicus	0.0543	D-glucuronate	*defined as D-glucuronate reductase; no exact differentiation between organisms in the reference
KM	Mus musculus	0.133	4-nitrobenzaldehyde	*
KM	Homo sapiens	0.33	D-glucuronate	*
KM	Sus scrofa	0.35	4-nitrobenzaldehyde	*
KM	Mus musculus	0.526	3-Nitrobenzaldehyde	*
KM	Homo sapiens	0.69	D-glucuronolactone	*
KM	Mus musculus	0.769	2-nitrobenzaldehyde	*
KM	Mus musculus	1.05	benzaldehyde	*
KM	Canis lupus familiaris	1.6	D-glucuronate	*
KM	Mus musculus	1.671	DL-glyceraldehyde	*
KM	Canis lupus familiaris	2.1	L-gulonate	*
KM	Sus scrofa	2.6	Pyridine-3-aldehyde	*
KM	Homo sapiens	3.1	D-glucuronate	*
KM	Sus scrofa	4.8	D-glyceraldehyde	*
KM	Homo sapiens	4.8	L-gulonate	*
KM	Rattus norvegicus	6.2	D-glucuronate	*
KM	Sus scrofa	7.3	L-gulonate	*
KM	Sus scrofa	7.3	L-gulonate	*
KM	Rattus norvegicus	7.6	L-gulonate	*
KM	Sus scrofa	8.4	D-glucuronate	*
KM	Mus musculus	9.1	D-glucuronate	*
KM	Mus musculus	139.9	D-arabinose	*
KM	Mus musculus	333	D-galactose	*
KM	Mus musculus	333	D-glucose	*
KM	Mus musculus	333	D-ribose	*
KM	Mus musculus	333	D-xylose	*
KM	Mus musculus	500	2-deoxyglucose	*
MW	Sus scrofa	33000	*	*SDS-PAGE, gel filtration
MW	Mus musculus	33000	*	*1 * 33000, SDS-PAGE
MW	Mus musculus	35000	*	*gel filtration
MW	Bos taurus	36000	*	*2 * 36000, SDS-PAGE, no exact differentiation between organisms in the reference
MW	Rattus norvegicus	36000	*	*2 * 36000, SDS-PAGE, no exact differentiation between organisms in the reference
MW	Homo sapiens	36000	*	*gel filtration
MW	Sus scrofa	36700	*	*1 * 36700, SDS-PAGE
MW	Homo sapiens	39000	*	*gel filtration
MW	Bos taurus	60000	*	*no exact differentiation between organisms in the reference, gel filtration
MW	Rattus norvegicus	60000	*	*no exact differentiation between organisms in the reference, gel filtration
PATH	*	Ascorbate and aldarate metabolism	*	*
PATH	*	ascorbate metabolism	*	*
PATH	*	D-glucuronate degradation I	*	*
PATH	*	L-ascorbate biosynthesis IV	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Pentose and glucuronate interconversions	*	*
SA	Sus scrofa	-999	*	*
SA	Mus musculus	-999	*	*
SA	Bos taurus	0.0025	*	*no exact differentiation between organisms in the reference; substrate D-glucuronate, defined as D-glucuronate reductase
SA	Rattus norvegicus	0.0025	*	*no exact differentiation between organisms in the reference; substrate D-glucuronate, defined as D-glucuronate reductase
SA	Homo sapiens	1.339	*	*highly purified enzyme, substrate NADPH
SA	Sus scrofa	5.45	*	*
