KM	Escherichia coli	0.005	NADPH	*
MW	Streptomyces davaonensis	22000	*	*x * 22000, recombinant enzyme, SDS-PAGE
MW	Escherichia coli	37000	*	*gel filtration
MW	Acinetobacter baumannii	40000	*	*2 * 42038, calculated, 2 * 40000, SDS-PAGE, tagged recombinant protein
MW	Acinetobacter baumannii	42038	*	*2 * 42038, calculated, 2 * 40000, SDS-PAGE, tagged recombinant protein
MW	Acinetobacter baumannii	58000	*	*gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	flavin biosynthesis	*	*
PATH	*	flavin biosynthesis I (bacteria and plants)	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Riboflavin metabolism	*	*
PATH	*	toxoflavin biosynthesis	*	*
