KM	Rhodococcus erythropolis	0.041	(4R,6S)-carveol	*
KM	Rhodococcus erythropolis	0.35	(4R,6R)-carveol	*
KM	Rhodococcus erythropolis	0.39	(4S,6S)-carveol	*
KM	Rhodococcus erythropolis	2	(4S,6R)-carveol	*
MW	Rhodococcus erythropolis	40000	*	*4 * 40000, SDS-PAGE
MW	Rhodococcus erythropolis	120000	*	*gel filtration
PATH	*	(4R)-carvone biosynthesis	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Limonene and pinene degradation	*	*
PATH	*	Monoterpenoid biosynthesis	*	*
SA	Mentha spicata	-999	*	*484.8 micromol/min kg tissue
SA	Rhodococcus erythropolis	0.002	*	*NADP+-dependent (4R)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-limonene; NADP+-dependent (4S)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-carveol
SA	Rhodococcus erythropolis	0.005	*	*NADP+-dependent (4R)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-carveol; NADP+-dependent (4S)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-limonene
SA	Rhodococcus erythropolis	0.009	*	*NAD+-dependent (4S)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-limonene
SA	Rhodococcus erythropolis	0.014	*	*dichlorophenolindophenol-dependent (4S)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-carveol; dichlorphenolindophenol+-dependent(4R)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-carveol
SA	Rhodococcus erythropolis	0.017	*	*NAD+-dependent (4R)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-limonene
SA	Rhodococcus erythropolis	0.021	*	*NAD+-dependent(4S)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-carveol
SA	Rhodococcus erythropolis	0.026	*	*activity in whole cells grown on limonene, biphasic assay system consisting of 20 ml phosphate buffer and 4 ml iso-octane
SA	Rhodococcus erythropolis	0.045	*	*NAD+-dependent (4R)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-carveol
SA	Rhodococcus erythropolis	0.09	*	*dichlorophenolindophenol-dependent(4R)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-limonene
SA	Rhodococcus erythropolis	0.105	*	*dichlorophenolindophenol+-dependent (4S)-carveol dehydrogenase, activity in extracts of cells grown on (4R)-limonene
SA	Rhodococcus erythropolis	1.46	*	*
