KCAT	Thauera aromatica	7	6-hydroxycyclohex-1-ene-1-carbonyl-CoA	*pH 7.4, 37&Acirc;&deg;C, calculated as kcat number per subunit
KM	Thauera aromatica	0.06	6-hydroxycyclohex-1-ene-1-carbonyl-CoA	*pH 7.4, 37&deg;C
MW	Thauera aromatica	38000	*	*x * 38000, SDS-PAGE
MW	Thauera aromatica	78000	*	*gel filtration
PATH	*	Benzoate degradation	*	*
PATH	*	benzoyl-CoA degradation	*	*
PATH	*	benzoyl-CoA degradation II (anaerobic)	*	*
PATH	*	crotonate fermentation (to acetate and cyclohexane carboxylate)	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Thauera aromatica	11.8	*	*pH 7.4, 37&deg;C, substrate: 6-hydroxycyclohex-1-ene-1-carbonyl-CoA
