KCAT	Homo sapiens	0.148	4-oxo-2-nonenal	*pH 7.4, 25&Acirc;&deg;C
KM	Homo sapiens	-999	more	*the KM-values for R80 mutant enzymes are higher than the Km-value of the wild-type enzyme: for R80K 3.5fold, for R80L 21.6fold, for R80M 90.7fold, for R80Q 61.5fold, for R80Y 61.5fold, for R80Y 85.1fold, for R80I 80fold
KM	Homo sapiens	-999	more	*
KM	Homo sapiens	0.0007	androstenedione	*
KM	Homo sapiens	0.001	androstenedione	*
KM	Rattus norvegicus	0.001	androstenedione	*
KM	Homo sapiens	0.0015	testosterone	*enzyme activity in cell-free homogenate, approximate value
KM	Homo sapiens	0.0031	4-oxo-2-nonenal	*pH 7.4, 25&deg;C
KM	Homo sapiens	0.0033	estrone	*
KM	Sus scrofa	0.0046	NADP+	*
KM	Cavia porcellus	0.0067	17beta-hydroxy-5beta-androstane-3-one	*
KM	Sus scrofa	0.0083	NADPH	*
KM	Sus scrofa	0.0108	NADPH	*
KM	Cavia porcellus	0.011	5beta-androstane-3alpha,17beta-diol	*
KM	Cavia porcellus	0.011	NADP+	*
KM	Sus scrofa	0.011	NADPH	*
KM	Cavia porcellus	0.014	NADP+	*isoenzyme 2
KM	Cavia porcellus	0.023	5alpha-androstane-3alpha,17beta-diol	*
KM	Cavia porcellus	0.025	NADP+	*isoenzyme 1
KM	Cavia porcellus	0.027	testosterone	*
KM	Cavia porcellus	0.029	5beta-androstane-3beta,17beta-diol	*
KM	Sus scrofa	0.04	androstenedione	*
KM	Cavia porcellus	0.047	NADP+	*
KM	Cavia porcellus	0.053	19-nortestosterone	*
KM	Cavia porcellus	0.0596	testosterone	*enzyme activity in microsomal fraction after centrifugation
KM	Cavia porcellus	0.077	17beta-hydroxy-5alpha-androstane-3-one	*
KM	Sus scrofa	0.1012	NAD+	*
KM	Sus scrofa	0.177	NADH	*
KM	Sus scrofa	0.177	NADH	*
KM	Cavia porcellus	0.27	testosterone	*
KM	Cavia porcellus	0.47	benzene dihydrodiol	*isoenzyme 1
KM	Cavia porcellus	6.7	benzene dihydrodiol	*isoenzyme 2
MW	Cavia porcellus	31000	*	*newly discovered isoenzyme, disc electrophoresis
MW	Sus scrofa	34000	*	*disc gel electrophoresis
MW	Sus scrofa	35400	*	*1 * 35400, sucrose density gradient centrifugation
MW	Sus scrofa	35500	*	*gel filtration
MW	Sus scrofa	35500	*	*
MW	Sus scrofa	36500	*	*SDS-PAGE
MW	Sus scrofa	36500	*	*
MW	Cavia porcellus	39000	*	*newly discovered isoenzyme, gel filtration
MW	Rattus norvegicus	180000	*	*gel filtration
PATH	*	androgen and estrogen metabolism	*	*
PATH	*	androgen biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Steroid hormone biosynthesis	*	*
SA	Rattus norvegicus	0.0033	*	*enzyme activity in smooth-surfaced microsomes
SA	Cavia porcellus	0.647	*	*newly discovered isoenzyme
SA	Cavia porcellus	2.316	*	*classical enzymes
SA	Sus scrofa	67.7	*	*
SA	Sus scrofa	67.7	*	*
SA	Cavia porcellus	96.5	*	*enzyme activity in microsomal fraction after centrifugation
SA	Cavia porcellus	145	*	*
