KM	Escherichia coli	0.035	L-lactaldehyde	*pH 7.0
KM	Rattus norvegicus	0.065	acetaldehyde	*
KM	Rattus norvegicus	0.26	ethanol	*
KM	Rattus norvegicus	0.56	DL-lactaldehyde	*
KM	Escherichia coli	1.25	L-1,2-propanediol	*pH 9.5
KM	Rattus norvegicus	11	DL-1,2-Propanediol	*
MW	Microcyclus eburneus	38000	*	*4 * 38000, SDS-PAGE
MW	Escherichia coli	39000	*	*2 * 39000, SDS-PAGE
MW	Escherichia coli	76000	*	*gel permeation chromatography on a calibrated column of Ultrogel AcA 34 under denaturating conditions
MW	Microcyclus eburneus	155000	*	*gel filtration on Sephadex G-200
PATH	*	ethylene glycol degradation	*	*
PATH	*	Glyoxylate and dicarboxylate metabolism	*	*
PATH	*	L-lactaldehyde degradation	*	*
PATH	*	L-lactaldehyde degradation (anaerobic)	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	methylglyoxal degradation VI	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	Propanoate metabolism	*	*
SA	Microcyclus eburneus	36.6	*	*
