KM	Helix aspersa	0.04	O2	*oxygen, substrate: D-mannitol
KM	Arion ater	5.2	D-mannitol	*digestive gland
KM	Helix aspersa	5.9	D-mannitol	*
KM	Helix aspersa	9.3	D-mannitol	*digestive gland
KM	Helix aspersa	13.7	D-mannitol	*digestive gland
KM	Limax flavus	13.7	D-mannitol	*
KM	Arion ater	15.4	D-mannitol	*
KM	Helix aspersa	15.4	D-mannitol	*digestive gland
KM	Helix aspersa	17.3	D-arabinitol	*digestive gland
KM	Helix aspersa	21.5	D-arabinitol	*digestive gland
KM	Limax flavus	21.5	D-arabinitol	*
KM	Arion ater	54.6	D-arabinitol	*
KM	Helix aspersa	54.6	D-arabinitol	*digestive gland
MW	Helix aspersa	-999	*	*mannitol oxidase activity elutes near the void volume of Sephacryl S300 columns which suggests a high molecular weight
SA	Arion ater	-999	*	*
SA	Helix aspersa	0.0137	*	*esophagus and crop
SA	Helix aspersa	0.984	*	*
