KCAT	Arabidopsis thaliana	613	(S)-2-hydroxyglutarate	*at pH 7.4 and 30&Acirc;&deg;C
KM	Homo sapiens	-999	L-2-hydroxyglutarate	*107 microM/l, lymphoblast; 112 microM/l, fibroblast
KM	Alcaligenes sp.	0.12	2-oxoglutarate	*
KM	Alcaligenes sp.	0.14	NADH	*
KM	Arabidopsis thaliana	0.24	(S)-2-hydroxyglutarate	*at pH 7.4 and 30&deg;C
KM	Homo sapiens	0.8	(S)-2-hydroxyglutarate	*
KM	Alcaligenes sp.	1.7	(S)-2-hydroxyglutarate	*
KM	Alcaligenes sp.	5.3	NAD+	*
KM	Alcaligenes sp.	15	(R)-2-hydroxyglutarate	*
MW	Alcaligenes sp.	42000	*	*1 * 42000, SDS-PAGE
MW	Arabidopsis thaliana	46000	*	*x * 46000, SDS-PAGE
MW	Alcaligenes sp.	48000	*	*gel filtration
PATH	*	Butanoate metabolism	*	*
PATH	*	glutamate and glutamine metabolism	*	*
PATH	*	Metabolic pathways	*	*
SA	Alcaligenes sp.	-999	*	*
