KCAT	Gluconobacter oxydans	3820	D-sorbitol	*pH 10.0, 25&Acirc;&deg;C
KM	Gluconobacter oxydans	-999	more	*protein-ligand molecular docking and thermodynamics, overview
KM	Gluconobacter oxydans	0.0257	ubiquinone-2	*
KM	Gluconobacter oxydans	0.0314	phenazine methosulfate	*
KM	Gluconobacter oxydans	0.0882	NADP+	*pH 10.0, 25&deg;C
KM	Gluconobacter oxydans	16.8	D-sorbitol	*ubiquinone-2 as electron acceptor
KM	Gluconobacter oxydans	23.2	D-sorbitol	*phenazine methosulfate as electron acceptor
KM	Gluconobacter oxydans	30	D-sorbitol	*
KM	Gluconobacter oxydans	30	D-sorbitol	*
KM	Gluconobacter oxydans	38.9	D-sorbitol	*pH 10.0, 25&deg;C
MW	Gluconobacter oxydans	17000	*	*1 * 63000 + 1 * 51000 + 1 * 17000, dissociation into 3 components, a flavoprotein (MW 63000), a cytochrome c (MW 51000) and an unknown polypeptide (MW 17000), SDS-PAGE
MW	Gluconobacter oxydans	17000	*	*1 * 63000 + 1 * 51000 + 1 * 17000, dissociation into 3 components, a flavoprotein (MW 63000), a cytochrome c (MW 51000) and an unknown polypeptide (MW 17000), SDS-PAGE
MW	Gluconobacter oxydans	51000	*	*1 * 63000 + 1 * 51000 + 1 * 17000, dissociation into 3 components, a flavoprotein (MW 63000), a cytochrome c (MW 51000) and an unknown polypeptide (MW 17000), SDS-PAGE
MW	Gluconobacter oxydans	51000	*	*1 * 63000 + 1 * 51000 + 1 * 17000, dissociation into 3 components, a flavoprotein (MW 63000), a cytochrome c (MW 51000) and an unknown polypeptide (MW 17000), SDS-PAGE
MW	Gluconobacter oxydans	53640	*	*
MW	Gluconobacter oxydans	63000	*	*1 * 63000 + 1 * 51000 + 1 * 17000, dissociation into 3 components, a flavoprotein (MW 63000), a cytochrome c (MW 51000) and an unknown polypeptide (MW 17000), SDS-PAGE
MW	Gluconobacter oxydans	63000	*	*1 * 63000 + 1 * 51000 + 1 * 17000, dissociation into 3 components, a flavoprotein (MW 63000), a cytochrome c (MW 51000) and an unknown polypeptide (MW 17000), SDS-PAGE
MW	Gluconobacter oxydans	80000	*	*x * 80000 (subunit SldA, calculated: 81730 Da), SDS-PAGE
MW	Gluconobacter oxydans	131000	*	*calculated sum of each MW of the 3 subunits
MW	Gluconobacter oxydans	131000	*	*calculated sum of each MW of the 3 subunits
PATH	*	2-keto-L-gulonate biosynthesis	*	*
PATH	*	ascorbate metabolism	*	*
PATH	*	Fructose and mannose metabolism	*	*
PATH	*	L-ascorbate biosynthesis III	*	*
PATH	*	Metabolic pathways	*	*
SA	Gluconobacter oxydans	-999	*	*Gluconobacter oxydans G624 shows SLDH activity of 43.2 U/mL and a 20% conversion yield from D-sorbitol to L-sorbose at 18 h of fermentation
SA	Gluconobacter oxydans	62	*	*
SA	Gluconobacter oxydans	433	*	*
SA	Gluconobacter oxydans	433	*	*
SA	Gluconobacter oxydans	3570	*	*purified recombinant enzyme, with D-sorbitol using NADP+ as a coenzyme, pH 10.0, 25&deg;C
