KCAT	Pseudomonas syringae	0.0028	(S)-2-hydroxypropylphosphonic acid	*pH 7.5
MW	Streptomyces wedmorensis	21000	*	*4 * 21000, SDS-PAGE
MW	Pseudomonas syringae	21000	*	*3 * 21000, SDS-PAGE
MW	Streptomyces wedmorensis	21210	*	*4 * 21210, calculated from sequence
MW	Streptomyces wedmorensis	21210	*	*4 * 21210, calculated from sequence
MW	Pseudomonas syringae	21315	*	*3 * 21315, calculated from sequence
MW	Streptomyces wedmorensis	21400	*	*4 * 21400, crystalligraphic data
MW	Streptomyces wedmorensis	21400	*	*x * 21400
MW	Pseudomonas syringae	26000	*	*2 * 26000, SDS-PAGE
MW	Pseudomonas syringae	68000	*	*gel filtration
MW	Pseudomonas syringae	73000	*	*gel filtration
MW	Streptomyces wedmorensis	89000	*	*gel filtration
MW	Streptomyces wedmorensis	89000	*	*gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Biosynthesis of various secondary metabolites - part 2	*	*
PATH	*	fosfomycin biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
