KCAT	Wolinella succinogenes	-999	more	*liposomal preparation of enzyme : 2000 min-1; liposomal preparation of membrane fraction: 2600 min-1, sulfide oxidation, liposomal preparation of enzyme: 1300 min-1, sulfide oxidation
KM	Pyrococcus furiosus	0.2	NADPH	*at pH 8.0, 80&Acirc;&deg;C
KM	Pyrococcus furiosus	3	NADH	*at pH 8.0, 80&Acirc;&deg;C
KM	Pyrococcus furiosus	0.04	NADP+	*at pH 8.0, 80&Acirc;&deg;C
KM	Pyrococcus furiosus	5	methyl viologen	*at pH 8.0, 80&Acirc;&deg;C
KM	Thermotoga neapolitana	0.15	Polysulfide	*PDH
MW	Pyrococcus furiosus	24000	*	*1 * 52000 + 1 * 39000 + 1 * 30000 + 1 * 24000, SDS-PAGE
MW	Pyrococcus furiosus	30000	*	*1 * 52000 + 1 * 39000 + 1 * 30000 + 1 * 24000, SDS-PAGE
MW	Pyrococcus furiosus	39000	*	*1 * 52000 + 1 * 39000 + 1 * 30000 + 1 * 24000, SDS-PAGE
MW	thermophilic iron-oxidizing bacterium strain TI-1	48000	*	*2 * 48000, SDS-PAGE
MW	Pyrodictium abyssi	52000	*	*enzym complex, gel-filtration
MW	Pyrodictium abyssi	52000	*	*enzym complex, gel-filtration
MW	Pyrococcus furiosus	52000	*	*1 * 52000 + 1 * 39000 + 1 * 30000 + 1 * 24000, SDS-PAGE
MW	Wolinella succinogenes	85000	*	*2 * 85000, SDS-PAGE
MW	Rhodobacter capsulatus	85033	*	*1 * 85033, calculated and crystallization data
MW	thermophilic iron-oxidizing bacterium strain TI-1	86000	*	*gel-filtration
MW	Acidithiobacillus ferrooxidans	120000	*	*
MW	Pyrococcus furiosus	135000	*	*gel-filtration
MW	Pyrococcus furiosus	153300	*	*SDS-PAGE
MW	Wolinella succinogenes	200000	*	*calculated from sedimentation coefficient obtained by sucrose density gradient centrifugation and Stokes radius obtained from gel filtration
MW	Pyrococcus furiosus	320000	*	*gel filtration
PATH	*	hydrogen production	*	*
PATH	*	Sulfur metabolism	*	*
PATH	*	sulfur reduction I	*	*
PATH	*	sulfur reduction II (via polysulfide)	*	*
SA	Pyrococcus furiosus	-999	*	*
SA	Thermotoga neapolitana	-999	*	*spec. act. for the PDH are 12 to 48fold higher than for sulfhydrogenase
SA	Acidithiobacillus ferrooxidans	-999	*	*
SA	Desulfuromonas acetoxidans	0.026	*	*crude extract
SA	Desulfuromusa succinoxidans	0.04	*	*crude extract
SA	Desulfomicrobium baculatum	0.043	*	*crude extract
SA	Desulfuromonas acetexigens	0.07	*	*crude extract
SA	Sulfurospirillum deleyianum	0.27	*	*crude extract
SA	Sulfurospirillum deleyianum	0.27	*	*crude extract
SA	thermophilic iron-oxidizing bacterium strain TI-1	2.73	*	*
SA	Pyrodictium abyssi	7.56	*	*at 100&deg;C
SA	Pyrodictium abyssi	7.56	*	*at 100&deg;C
SA	Wolinella succinogenes	186	*	*sulfide oxidation
SA	Wolinella succinogenes	350	*	*preparation 2
SA	Wolinella succinogenes	700	*	*preparation 1
SA	Wolinella succinogenes	732	*	*
