KM	Burkholderia sp.	0.0016	2,4'-dihydroxyacetophenone	*pH 7.0, 25&deg;C, recombinant enzyme
MW	Alcaligenes sp.	20364	*	*4 * 20364, amino acid sequence
MW	Alcaligenes sp.	20379	*	*4 * 20379, electrospray MS
MW	Alcaligenes sp.	21000	*	*4 * 21000, SDS-PAGE
MW	Burkholderia sp.	23000	*	*4 * 23000, recombinant enzyme, SDS-PAGE
MW	Alcaligenes sp.	40000	*	*recombinant chymotrypsinolysed enzyme, gel filtration and analytical ultracentrifugation
MW	Alcaligenes sp.	80000	*	*recombinant wild-type enzyme, gel filtration and analytical ultracentrifugation
MW	Alcaligenes sp.	81600	*	*gel filtration
MW	Alcaligenes sp.	83000	*	*gel filtration, BioSil TSK-125 column
MW	Alcaligenes sp.	87000	*	*Sephacryl S200
MW	Burkholderia sp.	90000	*	*recombinant enzyme, gel filtration
PATH	*	Bisphenol degradation	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Burkholderia sp.	0.042	*	*crude enzyme extract of strain AZ11, pH 7.0, 25&deg;C
SA	Burkholderia sp.	0.33	*	*crude enzyme extract of recombinant Escherichia coli strain JM109 expressing gene dad, pH 7.0, 25&deg;C
SA	Alcaligenes sp.	2.85	*	*
SA	Alcaligenes sp.	3.4	*	*
