KM	Pseudomonas putida	0.07	2,5-dihydroxypyridine	*25&Acirc;&deg;C; pH 8.0, 25&Acirc;&deg;C, strict substrate specificity
MW	Pseudomonas putida	39000	*	*SDS-PAGE
MW	Pseudomonas putida	39500	*	*x * 39500, SDS-PAGE
MW	Pseudomonas putida	39500	*	*x * 39500, SDS-PAGE
MW	Pseudomonas putida	143200	*	*gel filtration and mass spectrometry
MW	Pseudomonas putida	242000	*	*sucrose density gradient centrifugation (+ dithiothreitol)
MW	Pseudomonas putida	242000	*	*sucrose density gradient centrifugation (+ dithiothreitol)
MW	Achromobacter sp.	330000	*	*gel filtration
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	Nicotinate and nicotinamide metabolism	*	*
PATH	*	nicotinate degradation I	*	*
PATH	*	nicotine degradation II (pyrrolidine pathway)	*	*
PATH	*	nicotine degradation III (VPP pathway)	*	*
PATH	*	picolinate degradation	*	*
SA	Cupriavidus campinensis	0.13	*	*pyridine-2,6-dicarboxylic acid-induced cells of strain 23K8, pH 7.2, 30&deg;C
SA	Pseudomonas putida	2.3	*	*Vmax, pH 8.0, 25&deg;C
SA	Pseudomonas putida	6	*	*pH 8.0, 25&deg;C, in cell extracts of Escherichia coli BL21(DE3) overexpressing the nicX gene
SA	Achromobacter sp.	15.3	*	*
SA	Pseudomonas putida	38.3	*	*
