KM	Lingulodinium polyedra	0.0025	dinoflagellate luciferin	*in 0.2 M sodium phosphate, 0.25 mM EDTA, 0.1 mg/ml of bovine serum albumin at pH 6.3, temperature not specified in the publication
MW	Lingulodinium polyedra	30000	*	*SDS-PAGE
MW	Pyrocystis fusiformis	40000	*	*SDS-PAGE
MW	Pyrocystis lunula	40000	*	*SDS-PAGE
MW	Lingulodinium polyedra	42000	*	*2 * 42000, SDS-PAGE
MW	Lingulodinium polyedra	44000	*	*2 * 44000, SDS-PAGE
MW	Lingulodinium polyedra	75000	*	*GST-LCF fusion protein, SDS-PAGE
MW	Noctiluca scintillans	100000	*	*about 100000 Da, native protein, SDS-PAGE
MW	Lingulodinium polyedra	130000	*	*gel filtration
MW	Lingulodinium polyedra	130000	*	*3 * 130000, SDS-PAGE
MW	Lingulodinium polyedra	137000	*	*calculated from amino acid sequence
MW	Lingulodinium polyedra	137000	*	*full-length enzyme, calculated from amino acid sequence
MW	Lingulodinium polyedra	161000	*	*full-length enzyme, SDS-PAGE
MW	Lingulodinium polyedra	420000	*	*gel filtration
PATH	*	dinoflagellate bioluminescence	*	*
SA	Lingulodinium polyedra	-999	*	*the crude extract has a specific activity of 0.000000258 at pH 8.0 and 20&Acirc;&deg;C and the purified enzyme shows a specific activity of 0.00000348 quanta/min/mg at pH 8.0 and 20&Acirc;&deg;C
SA	Pyrocystis fusiformis	-999	*	*the crude extract has a specific activity of 0.000000258 at pH 8.0 and 20&Acirc;&deg;C and the purified enzyme shows a specific activity of 0.00000348 quanta/min/mg at pH 8.0 and 20&Acirc;&deg;C
SA	Pyrocystis lunula	-999	*	*the crude extract has a specific activity of 0.000000258 at pH 8.0 and 20&Acirc;&deg;C and the purified enzyme shows a specific activity of 0.00000348 quanta/min/mg at pH 8.0 and 20&Acirc;&deg;C
