KCAT	Streptomyces sp.	3.2	L-proline	*100 mM N-tris(hydroxymethyl)methyl-2-aminoethanesulfonic acid pH 7.0, 5 mM 2-oxoglutarate, 5 mM L-proline, 5 mM L-ascorbate, 1 mM FeSO4, 35&deg;C
KM	Streptomyces sp.	0.047	2-oxoglutarate	*
KM	Streptomyces sp.	0.083	2-oxoglutarate	*
KM	Streptomyces sp.	0.11	2-oxoglutarate	*100 mM N-tris(hydroxymethyl)methyl-2-aminoethanesulfonic acid pH 7.0, 5 mM 2-oxoglutarate, 5 mM L-proline, 5 mM L-ascorbate, 1 mM FeSO4, 35&Acirc;&deg;C
KM	Streptomyces sp.	0.2	L-proline	*
KM	Streptomyces sp.	0.2	L-proline	*
KM	Streptomyces sp.	0.4	L-proline	*
KM	Streptomyces sp.	0.43	L-proline	*
KM	Streptomyces sp.	0.56	L-proline	*100 mM N-tris(hydroxymethyl)methyl-2-aminoethanesulfonic acid pH 7.0, 5 mM 2-oxoglutarate, 5 mM L-proline, 5 mM L-ascorbate, 1 mM FeSO4, 35&Acirc;&deg;C
KM	Streptomyces sp.	3.8	L-pipecolic acid	*
KM	Streptomyces sp.	100	L-pipecolic acid	*
KM	Streptomyces sp.	8.4	3,4-dehydro-L-proline	*
KM	Streptomyces sp.	2.1	L-2-azetidinecarboxylic acid	*
MW	Streptomyces sp.	33150	*	*calculated
MW	Streptomyces sp.	33154	*	*x * 33154, sequence calculation
MW	Streptomyces sp.	33570	*	*calculated
MW	Streptomyces sp.	35000	*	*apparent molecular weight on SDS-PAGE
MW	Streptomyces sp.	35000	*	*SDS-PAGE
SA	Streptomyces sp.	-999	*	*recombinant biotransformation of L-proline to cis-3-hydroxy-L-proline in Escherichia coli cells transformed with a synthetic P3H gene, overview
SA	Streptomyces canus	0.00029	*	*
SA	Streptomyces sp.	0.00119	*	*5 mM 2-oxoglutarate, 1 mM ferrous sulfate, 5 mM L-ascorbic acid, 100 mM TES pH 7.5, 30&deg;C
SA	Bacillus sp. (in: Bacteria)	0.00132	*	*
SA	Bacillus sp. (in: Bacteria)	0.00149	*	*
SA	Streptomyces sp.	7.2	*	*
SA	Streptomyces sp.	12.7	*	*
