KCAT	Aspergillus fumigatus	0.19	fumitremorgin B	*pH 6.0, 30&deg;C
KM	Aspergillus fumigatus	0.003	2-oxoglutarate	*pH 6.0, 30&Acirc;&deg;C
KM	Aspergillus fumigatus	0.021	fumitremorgin B	*pH 6.0, 30&Acirc;&deg;C
MW	Aspergillus fumigatus	35100	*	*2 * 35100, calculated from sequence
MW	Aspergillus fumigatus	38000	*	*2 * 38000, SDS-PAGE
MW	Aspergillus fumigatus	77000	*	*gel filtration
MW	Aspergillus fumigatus	81000	*	*gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	fumitremorgin A biosynthesis	*	*
PATH	*	fumitremorgin biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Staurosporine biosynthesis	*	*
