KM	Comamonas testosteroni	0.025	4-Sulfobenzoate	*
MW	Comamonas testosteroni	-999	*	*simple multi-component dioxygenase of two, perhaps three components: reductase B coupled to dimeric oxygenase, reductase C exhibits only 15% of total activity
MW	Comamonas testosteroni	36000	*	*1 * 36000, reductase B, SDS-PAGE
MW	Comamonas testosteroni	39000	*	*reductase B, contains 1 mol of FMN and about 2 mol each of iron and inorganic sulfur per mol, Superose gel filtration
MW	Comamonas testosteroni	47000	*	*reductase B, Sephadex G-2000 gel filtration
MW	Comamonas testosteroni	50000	*	*dioxygenase A, SDS-PAGE
MW	Comamonas testosteroni	50000	*	*2 * 50000, oxygenase A, SDS-PAGE
MW	Comamonas testosteroni	85000	*	*oxygenase A, native dioxygenase: the enzyme is presumed to be homodimeric, Superose gel filtration
MW	Comamonas testosteroni	105000	*	*oxygenase A, native dioxygenase: the enzyme is presumed to be homodimeric, Sephadex G-2000 gel filtration
PATH	*	4-toluenesulfonate degradation I	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	Toluene degradation	*	*
SA	Comamonas testosteroni	0.012	*	*for enzyme system grown on sulfobenzoate
SA	Comamonas testosteroni	0.024	*	*for enzyme system grown on toluenesulfonate
SA	Comamonas testosteroni	0.03	*	*for enzyme system grown on sulfobenzoate
SA	Comamonas testosteroni	0.11	*	*reductase B
SA	Comamonas testosteroni	0.8	*	*oxygenase A
SA	Comamonas testosteroni	84	*	*reductase B, dichlorophenolindophenol
SA	Comamonas testosteroni	138	*	*reductase B, cytochrome c
SA	Comamonas testosteroni	318	*	*reductase B, ferricyanide
