KM	Dunaliella salina	-999	more	*kinetics of photoacclimation
MW	Micromonas pusilla	40000	*	*2 * 40000, SDS-PAGE
MW	Prochlorothrix hollandica	40830	*	*x * 40830, amino acid sequence calculation
MW	Arabidopsis thaliana	48000	*	*A and B domain + green fluorescence protein(AB-GFP) fusion enzyme, SDS-PAGE
MW	Arabidopsis thaliana	54000	*	*x * 54000, recombinant enzyme, SDS-PAGE
MW	Arabidopsis thaliana	56000	*	*full-length enzyme, SDS-PAGE
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	chlorophyll metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Porphyrin and chlorophyll metabolism	*	*
SA	Oryza sativa	-999	*	*chlorophyll a nd chlorophyll b contents in wild-type and mutants plants
SA	Arabidopsis thaliana	-999	*	*expression analysis and chlorophyll a/b ratios under various light conditions
SA	Arabidopsis thaliana	-999	*	*the assay is performed in darkness
