KCAT	Oryctolagus cuniculus	0.127	4-nitrophenol	*reconstituted system of purified isozyme 3a, dilaroylglyceryl-3-phosphorylcholine and NADPH-cytochrome P-450 reductase at pH 7.6
KM	Nocardia sp.	0.0083	4-nitrocatechol	*
KM	Homo sapiens	0.021	4-nitrocatechol	*cDNA expressed enzyme
KM	Homo sapiens	0.03	4-nitrocatechol	*
KM	Ovis aries	-999	more	*
MW	Homo sapiens	40000	*	*SDS-PAGE
MW	Rhodococcus sp. PN1	53000	*	*SDS-PAGE
MW	Rhodococcus sp. PN1	58800	*	*calculated from amino acid sequence
MW	Rhodococcus sp. PN1	207000	*	*gel filtration chromatography using HPLC, native tetramer
PATH	*	4-nitrophenol degradation II	*	*
PATH	*	Aminobenzoate degradation	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
