KM	Kitasatospora aureofaciens	0.022	anhydrotetracycline	*
MW	Kitasatospora aureofaciens	57500	*	*2 * 57500, SDS-PAGE
MW	Kitasatospora aureofaciens	57500	*	*2 * 57500, SDS-PAGE
MW	Kitasatospora aureofaciens	115000	*	*gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Biosynthesis of type II polyketide products	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	tetracycline and oxytetracycline biosynthesis	*	*
PATH	*	Tetracycline biosynthesis	*	*
SA	Kitasatospora aureofaciens	-999	*	*overview: different activities in various subcellular fractions
SA	Streptomyces rimosus	0.0000112	*	*recombinant wild-type enzyme in Escherichia coli cell extract
SA	Kitasatospora aureofaciens	0.00264	*	*low production strain, membrane fraction
SA	Kitasatospora aureofaciens	0.0078	*	*high production strain, cytoplasm
SA	Kitasatospora aureofaciens	0.44	*	*
