KM	Arabidopsis thaliana	0.0013	hemin	*at pH 7.2 and 25&Acirc;&deg;C
KM	Arabidopsis thaliana	0.0013	protoheme	*isoform HY1, at pH 7.2 and 25&Acirc;&deg;C
KM	Arabidopsis thaliana	0.0027	protoheme	*isoform HO3, at pH 7.2 and 25&Acirc;&deg;C
KM	Arabidopsis thaliana	0.0057	protoheme	*isoform HO4, at pH 7.2 and 25&Acirc;&deg;C
MW	Glycine max	26000	*	*x * 26000, SDS-PAGE
MW	Glycine max	26100	*	*
MW	Arabidopsis thaliana	27000	*	*x * 27000, recombinant enzyme, SDS-PAGE
MW	Synechocystis sp.	28500	*	*x * 28500, calculated from amino acid sequence
MW	Synechocystis sp.	29000	*	*x * 29000, SDS-PAGE
MW	Synechocystis sp. PCC 6803	31000	*	*
MW	Arabidopsis thaliana	53000	*	*gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	heme degradation II	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	phycocyanobilin biosynthesis	*	*
PATH	*	phycoerythrobilin biosynthesis I	*	*
PATH	*	phycoerythrobilin biosynthesis II	*	*
PATH	*	phycourobilin biosynthesis	*	*
PATH	*	phycoviolobilin biosynthesis	*	*
PATH	*	phytochromobilin biosynthesis	*	*
PATH	*	Porphyrin and chlorophyll metabolism	*	*
SA	Cyanidium caldarium	0.00069	*	*unpurified enzyme, at pH 7.6 and 42&deg;C
SA	Cyanidium caldarium	0.1403	*	*after 203fold purification, at pH 7.6 and 42&deg;C
