MW	Solanum lycopersicum	73000	*	*x * 73000, about, sequence calculation
MW	Solanum tuberosum	73100	*	*x * 73100, about, amino acid sequence calculation
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Carotenoid biosynthesis	*	*
PATH	*	carotenoid biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
SA	Lemna trisulca	-999	*	*
SA	Cuscuta campestris	-999	*	*composition of xanthophylls, ratio of chlorophylls and total carotenoids to chlorophylls ratio in dark adapted Cuscuta species, overview
SA	Cuscuta epithymum	-999	*	*composition of xanthophylls, ratio of chlorophylls and total carotenoids to chlorophylls ratio in dark adapted Cuscuta species, overview
SA	Cuscuta europaea	-999	*	*composition of xanthophylls, ratio of chlorophylls and total carotenoids to chlorophylls ratio in dark adapted Cuscuta species, overview
SA	Cuscuta gronovii	-999	*	*composition of xanthophylls, ratio of chlorophylls and total carotenoids to chlorophylls ratio in dark adapted Cuscuta species, overview
SA	Cuscuta japonica	-999	*	*composition of xanthophylls, ratio of chlorophylls and total carotenoids to chlorophylls ratio in dark adapted Cuscuta species, overview
SA	Cuscuta lupuliformis	-999	*	*composition of xanthophylls, ratio of chlorophylls and total carotenoids to chlorophylls ratio in dark adapted Cuscuta species, overview
SA	Cuscuta platyloba	-999	*	*composition of xanthophylls, ratio of chlorophylls and total carotenoids to chlorophylls ratio in dark adapted Cuscuta species, overview
SA	Cuscuta reflexa	-999	*	*composition of xanthophylls, ratio of chlorophylls and total carotenoids to chlorophylls ratio in dark adapted Cuscuta species, overview
SA	Arabidopsis thaliana	-999	*	*zeaxanthin, antheraxanthin, and violaxanthin contents in wild-type and enzyme-overexpressing mutant plants, overview
