KM	Spinacia oleracea	0.1	choline	*reduced ferredoxin provided by NADPH/ferredoxin-NADP+ reductase or reconstituted chloroplasts
MW	Salicornia europaea	42800	*	*x * 42800, sequence calculation
MW	Spinacia oleracea	42860	*	*MALDI-MS after fractionation with HPLC
MW	Spinacia oleracea	42880	*	*prediction from cloned polypeptide
MW	Oryza sativa	43000	*	** 43000, recombinant enzyme, SDS-PAGE
MW	Hordeum vulgare	44800	*	*x * 44800, about, sequence calculation
MW	Spinacia oleracea	45000	*	*SDS-PAGE
MW	Bienertia sinuspersici	49000	*	*determined by SDS-PAGE and Western Blot analysis
MW	Suaeda aralocaspica	49000	*	*determined by SDS-PAGE and Western Blot analysis
MW	Spinacia oleracea	98000	*	*gel filtration with Ultrogel AcA 34
MW	Spinacia oleracea	133000	*	*gel filtration with tandem Superose 12-Superdex 200
MW	Spinacia oleracea	135000	*	*native electrophoresis
PATH	*	glycine betaine biosynthesis III (plants)	*	*
PATH	*	Glycine, serine and threonine metabolism	*	*
PATH	*	Metabolic pathways	*	*
SA	Beta vulgaris	0.00003	*	*in leaves of untreated plants
SA	Amaranthus caudatus	0.000036	*	*in leaves of untreated plants
SA	Amaranthus caudatus	0.0001	*	*in leaves of plants after salinization with 300 mM NaCl for three days
SA	Beta vulgaris	0.00012	*	*in roots of untreated plants and after salinization with 100 mM NaCl for three days
SA	Beta vulgaris	0.00018	*	*in leaves of plants after salinization with 100 mM NaCl for three days
SA	Beta vulgaris	0.00024	*	*in leaves of plants after salinization with 400 mM NaCl for three days
SA	Spinacia oleracea	0.00025	*	*activity varies with leaf age
SA	Beta vulgaris	0.00048	*	*in roots of plants after salinization with 400 mM NaCl for three days
SA	Spinacia oleracea	0.00058	*	*after salinization of plants with 200 mM NaCl for two weeks
