KCAT	Argemone mexicana	-999	more	*kcat (S)-coreximine: 1% compared to kcat (S)-cheilanthifoline: 100%
KM	Eschscholzia californica	0.00054	(S)-scoulerine	*CYP719A3 variant, determined with HPLC
KM	Eschscholzia californica	0.0004	(S)-cheilanthifoline	*
KM	Argemone mexicana	5.2	(S)-cheilanthifoline	*pH 8.0, 30&Acirc;&deg;C, kcat: 100%
KM	Eschscholzia californica	0.032	(R,S)-scoulerine	*CYP719A2 variant, determined with HPLC
MW	Argemone mexicana	57450	*	*calculated from cDNA
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	coptisine biosynthesis	*	*
PATH	*	Isoquinoline alkaloid biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	sanguinarine and macarpine biosynthesis	*	*
SA	Eschscholzia californica	-999	*	*0.43 pmol/min/pmol P450 for the CYP719A2 variant, (R,S)-scoulerine as substrate; CYP719A2 variant uses only (R,S)-cheilanthifoline as substrate to produce stylopine when incubating with a mixture of 0.4 microM (R,S)-cheilanthifoline and 0.4 microM S-scoulerine as substrates; CYP719A3 and CYP719A2 do not react with columbamine, (R,S)-reticuline, (R,S)-norreticuline, (S)-N-methylcoclaurine, (S)-coclaurine, (R,S)-6-O-methylnorlaudanosoline and magnoflorine to make corresponding products with a methylenedioxy bridge; CYP719A3 but not CYP719A2 variant converts (S)-tetrahydrocolumbamine to (S)-tetrahydroberberine; CYP719A3 converts a mixture of 0.4 microM (R,S)-cheilanthifoline and 0.4 microM S-scoulerine as substrates to stylopine and nandinine
SA	Eschscholzia californica	0.0000045	*	*CYP719A3 variant, (S)-scoulerine as substrate, microsomal protein used for determination
