KM	Papaver somniferum	0.00463	(S)-tetrahydrocolumbamine	*in 100 mM HEPES-NaOH, pH 7.5, at 30&deg;C
KM	Thalictrum tuberosum	0.0115	tetrahydrocolumbamine	*canadine synthase in complex with a cytochrome P-450 reductase
KM	Thalictrum tuberosum	0.033	NADPH	*canadine synthase in complex with a cytochrome P-450 reductase
KM	Argemone mexicana	2.7	(S)-tetrahydrocolumbamine	*pH 8.0, 30&deg;C, kcat: 135%
MW	Coptis chinensis	55290	*	*calculated from sequence
MW	Argemone mexicana	57450	*	*calculated from cDNA
PATH	*	berberine biosynthesis	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	chelerythrine biosynthesis	*	*
PATH	*	Isoquinoline alkaloid biosynthesis	*	*
PATH	*	noscapine biosynthesis	*	*
