KM	Nitrosomonas europaea	0.85	ammonia	*pH 7.8, 30&Acirc;&deg;C
KM	Nitrobacter winogradskyi	-999	more	*stoichiometry, ammonia and oxygen uptake, and catalytic kinetics of ammonia oxidation using an optimized microrespirometry setup, nitrite oxidation follows a two-site saturation kinetics, overview
KM	Nitrosococcus oceani	-999	more	*stoichiometry, ammonia and oxygen uptake, and catalytic kinetics of ammonia oxidation using an optimized microrespirometry setup, overview. The ammonia oxidation kinetic does not obey a classical Michaelis-Menten model
KM	Nitrosomonas europaea	-999	more	*stoichiometry, ammonia and oxygen uptake, and catalytic kinetics of ammonia oxidation using an optimized microrespirometry setup, overview
KM	Nitrosopumilus maritimus	-999	more	*stoichiometry, ammonia and oxygen uptake, and catalytic kinetics of ammonia oxidation, using an optimized microrespirometry setup, Michaelis-Menten kinetic model, overview
MW	Nitrosomonas europaea	24000	*	*3 * 27000 (alpha-subunit, AmoA) + 3 * 42000 (beta-subunit, AmoB) + 3 * 24000 (gamma-subunit, cytochrome c1), soluble enzyme, SDS-PAGE
MW	Nitrosomonas europaea	27000	*	*3 * 27000 (alpha-subunit, AmoA) + 3 * 42000 (beta-subunit, AmoB) + 3 * 24000 (gamma-subunit, cytochrome c1), soluble enzyme, SDS-PAGE
MW	Acinetobacter sp.	31000	*	*1 * 31000, SDS-PAGE
MW	Paracoccus denitrificans	38000	*	*x * 38000 + x * 46000, SDS-PAGE
MW	Nitrosomonas europaea	42000	*	*3 * 27000 (alpha-subunit, AmoA) + 3 * 42000 (beta-subunit, AmoB) + 3 * 24000 (gamma-subunit, cytochrome c1), soluble enzyme, SDS-PAGE
MW	Paracoccus denitrificans	46000	*	*x * 38000 + x * 46000, SDS-PAGE
MW	Nitrosomonas europaea	283000	*	*non-denaturing gel electrophoresis
PATH	*	ammonia oxidation I (aerobic)	*	*
PATH	*	ammonia oxidation III	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	nitrate assimilation	*	*
PATH	*	Nitrogen metabolism	*	*
SA	Nitrosomonas europaea	0.089	*	*intact cells
SA	Paracoccus denitrificans	8	*	*
SA	Acinetobacter sp.	23.2	*	*purified native enzyme, pH 7.5, 15&deg;C
