MW	Escherichia coli	42953	*	*x * 42953, calculated from sequence
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	ubiquinol-10 biosynthesis (eukaryotic)	*	*
PATH	*	ubiquinol-10 biosynthesis (prokaryotic)	*	*
PATH	*	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	*	*
PATH	*	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	*	*
PATH	*	ubiquinol-6 bypass biosynthesis (eukaryotic)	*	*
PATH	*	ubiquinol-7 biosynthesis (eukaryotic)	*	*
PATH	*	ubiquinol-7 biosynthesis (prokaryotic)	*	*
PATH	*	ubiquinol-8 biosynthesis (eukaryotic)	*	*
PATH	*	ubiquinol-8 biosynthesis (prokaryotic)	*	*
PATH	*	ubiquinol-9 biosynthesis (eukaryotic)	*	*
PATH	*	ubiquinol-9 biosynthesis (prokaryotic)	*	*
PATH	*	Ubiquinone and other terpenoid-quinone biosynthesis	*	*
PATH	*	ubiquinone biosynthesis	*	*
