KCAT	synthetic construct	-999	more	*analysis of reaction mechanism using synthetic construct [Fe(II)(SMe2N4(tren))]+ and a single peroxide intermediate, [Fe(III)(SMe2N4(tren))(OOH)]+
KM	Archaeoglobus fulgidus	-999	more	*detailed kinetic analysis and comparison of mechanism with 1Fe-SOR isoform neelaredoxin. UV/Vis and EPR-spectral analysis; rapid kinetics measurements and pH-dependence, stopped-flow kinetics of electron transfer between rubredoxin and desulfoferrodoxin, overview
KM	Desulfovibrio vulgaris	-999	more	*solvent deuterium isotope effects, stopped-flow kinetics of wild-type and mutant enzymes at different pH in different buffer systems, overview
KM	Pyrococcus furiosus	-999	more	*kinetic analysis, binding parameters, and electrochemic parameters of the enzyme and Fe2+ complexes, overview
KM	Desulfarculus baarsii	-999	more	*kinetics, resonance Raman spectroscopy
KM	Nanoarchaeum equitans	-999	more	*the reaction with superoxide proceeds via formation of an intermediate with a second-order rate constant
KM	Desulfovibrio gigas	-999	more	*steady-state kinetics
KM	Desulfarculus baarsii	-999	more	*kinetic analysis, e.g. kinetics of the formation of the first reaction intermediate T1 adjusted with a biexponential model, overview
KM	Desulfarculus baarsii	-999	more	*stopped-flow kinetic analysis, overview
KM	Desulfovibrio vulgaris	-999	more	*enzyme redox potentials, and stopped-flow kinetics of the reduction of superoxide reductase-Zn(II)-Fe(III) and superoxide reductase-Fe(III)-Fe(III), overview. Smaller reaction rate constants are observed for the superoxide reductase-Fe(III)-Fe(III) and oxidized superoxide reductase-Zn(II)-Fe(III) forms, in both cases centre II has to be reduced prior to the reaction with superoxide radical, leading to a slower initial reaction rate
KM	Desulfovibrio gigas	-999	more	*steady-state kinetics, overview
MW	Treponema pallidum	13670	*	*1 * 13800 + 1 * 13670, ESI-MS
MW	Archaeoglobus fulgidus	13700	*	*x * 13700, recombinant enzyme
MW	Treponema pallidum	13800	*	*1 * 13800 + 1 * 13670, ESI-MS
MW	Pyrococcus furiosus	14000	*	*x * 14000, SDS-PAGE
MW	Treponema pallidum	14000	*	*2 * 14000, SDS-PAGE
MW	Desulfovibrio desulfuricans	14000	*	*2 * 14000
MW	Treponema pallidum	14000	*	*2 * 14000, a homodimer
MW	Ignicoccus hospitalis	14000	*	*4 * 14000, SDS-PAGE
MW	Desulfarculus baarsii	14028	*	*2 * 14028, ES-MS
MW	Pyrococcus furiosus	14300	*	*4 * 14300
MW	Pyrococcus furiosus	14323	*	*x * 14323, deduced from nucleotide sequence
MW	Archaeoglobus fulgidus	15000	*	*2 * 15000, SDS-PAGE
MW	Methanosarcina mazei	19000	*	*gel filtration
MW	Methanosarcina mazei	20000	*	*x * 20000, SDS-PAGE
MW	Treponema pallidum	26000	*	*gel filtration
MW	Desulfarculus baarsii	27000	*	*gel filtration
MW	Desulfovibrio gigas	29000	*	*
MW	Archaeoglobus fulgidus	30000	*	*gel filtration
PATH	*	non-pathway related	*	*
SA	Archaeoglobus fulgidus	-999	*	*60.0 U/mg, 1 U is the amount of enzyme necessary to inhibit 50% of the reduction of cytochrome c by the xanthine/xanthine oxidase system, superoxid dismutase activity of native enzyme
