KM	Yersinia pseudotuberculosis	0.15	CDP-4-keto-6-deoxy-D-glucose	*
MW	Yersinia pseudotuberculosis	-999	*	*cofactor: 200-400, gel filtration on Bio Gel P2
MW	Yersinia pseudotuberculosis	35000	*	*enzyme E3, thin-layer chromatography on Sephadex G-100
MW	Yersinia pseudotuberculosis	35000	*	*enzyme E3, thin-layer chromatography on Sephadex G-100
MW	Yersinia pseudotuberculosis	40000	*	*enzyme E3: 1 * 40000, SDS-PAGE, enzyme E1: 1 * 61000, SDS-PAGE, 2 proteins E1 and E3 are involved but no partial reaction has been observed in the presence of either alone
MW	Yersinia pseudotuberculosis	40000	*	*enzyme E3: 1 * 40000, SDS-PAGE, enzyme E1: 1 * 61000, SDS-PAGE, 2 proteins E1 and E3 are involved but no partial reaction has been observed in the presence of either alone
MW	Yersinia pseudotuberculosis	50000	*	*enzyme E1, thin-layer chromatography on Sephadex G-100
MW	Yersinia pseudotuberculosis	60000	*	*enzyme E1, thin-layer chromatography on Sephadex G-100
MW	Yersinia pseudotuberculosis	61000	*	*enzyme E3: 1 * 40000, SDS-PAGE, enzyme E1: 1 * 61000, SDS-PAGE, 2 proteins E1 and E3 are involved but no partial reaction has been observed in the presence of either alone
MW	Yersinia pseudotuberculosis	61000	*	*enzyme E3: 1 * 40000, SDS-PAGE, enzyme E1: 1 * 61000, SDS-PAGE, 2 proteins E1 and E3 are involved but no partial reaction has been observed in the presence of either alone
PATH	*	Amino sugar and nucleotide sugar metabolism	*	*
PATH	*	CDP-4-dehydro-3,6-dideoxy-D-glucose biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
SA	Salmonella enterica subsp. enterica serovar Typhimurium	-999	*	*
SA	Yersinia pseudotuberculosis	-999	*	*
SA	Yersinia pseudotuberculosis	-999	*	*
SA	Yersinia pseudotuberculosis	0.11	*	*E1
SA	Yersinia pseudotuberculosis	0.32	*	*E3
