KM	Azotobacter chroococcum	-999	more	*over the temperature range 30-45 degrees C the apparent Km for the reduction of N2 is the same, but increases from 30 to 58 kPa of N2
MW	Azotobacter chroococcum	62500	*	*gel filtration, iron-subunit
MW	Azotobacter chroococcum	210000	*	*gel filtration
MW	Azotobacter vinelandii	227300	*	*dynamic light scattering, heterotetramer NifD2K2
MW	Azotobacter vinelandii	235300	*	*dynamic light scattering, VnfD2K2G2 heterohexamer
PATH	*	Metabolic pathways	*	*
PATH	*	Nitrogen metabolism	*	*
SA	Azotobacter chroococcum	337	*	*formation of NH3, pH not specified in the publication, temperature not specified in the publication
SA	Azotobacter chroococcum	1211	*	*evolution of H2 under argon atmosphere, pH not specified in the publication, temperature not specified in the publication
SA	Azotobacter vinelandii	4930	*	*ethane formation, pH 7.4, 30&Acirc;&deg;C
SA	Azotobacter vinelandii	454000	*	*ethylene formation, pH 7.4, 30&Acirc;&deg;C
