KCAT	Azotobacter vinelandii	400	flavodoxin hydroquinone	*before and after reduction of the nitrogenase complex relative slow reactions take place, which limits the rate of the Fe protein cycle
KM	Azotobacter vinelandii	-999	more	*steady-state turnover analysis with diazene and hydrazine bound to the FeMo cofactor, overview
MW	Azotobacter vinelandii	230000	*	*nitrogenase MoFe protein component
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	nitrate assimilation	*	*
PATH	*	nitrogen fixation II (flavodoxin)	*	*
PATH	*	Nitrogen metabolism	*	*
SA	Klebsiella pneumoniae	-999	*	*coupled assay with pyruvate:flavodoxin oxidoreductase
SA	Azotobacter vinelandii	-999	*	*H+ and N2 reduction activities of wild-type and mutant Azotobacter vinelandii strains under 100% N2, overview
SA	Klebsiella pneumoniae	0.027	*	*reductant dithionite
