KCAT	Saccharomyces cerevisiae	11.2	alpha-aminoadipate semialdehyde	*production from holo-lys2
KCAT	Penicillium chrysogenum	66	L-2-aminoadipate	*pH 8, 30&deg;C
KM	Pseudomonas putida	0.002	DELTA1-piperidine 6-carboxylate	*
KM	Pseudomonas sp.	0.002	DELTA1-piperidine 6-carboxylate	*
KM	Rattus norvegicus	0.02	2-aminoadipic semialdehyde	*
KM	Candida maltosa	0.1	NADPH	*
KM	Penicillium chrysogenum	0.16	NADPH	*pH 8, 30&deg;C
KM	Homo sapiens	0.181	L-2-aminoadipate 6-semialdehyde	*
KM	Candida maltosa	0.2	alpha-aminoadipate	*
KM	Rattus norvegicus	0.2	alpha-aminoadipate	*NAD+
KM	Rattus norvegicus	0.2	NAD+	*
KM	Blastobotrys adeninivorans	0.23	NADPH	*
KM	Candida maltosa	0.38	NADH	*
KM	Homo sapiens	0.454	NAD+	*
KM	Candida maltosa	0.5	ATP	*
KM	Saccharomyces cerevisiae	0.62	NADPH	*of Lys2
KM	Blastobotrys adeninivorans	0.77	MgCl2	*
KM	Blastobotrys adeninivorans	0.78	alpha-aminoadipate	*
KM	Rhodococcus sp.	0.888	Nalpha-benzyloxycarbonyl-L-aminoadipate-delta-semialdehyde	*at pH 5.0
KM	Blastobotrys adeninivorans	1	ATP	*
KM	Penicillium chrysogenum	1.3	ATP	*pH 8, 30&deg;C
KM	Rhodococcus sp.	1.34	Nalpha-benzyloxycarbonyl-L-aminoadipate-delta-semialdehyde	*at pH 7.0
KM	Penicillium chrysogenum	1.4	L-2-aminoadipate	*pH 8, 30&deg;C
KM	Candida maltosa	3.8	MgCl2	*
MW	Saccharomyces cerevisiae	31000	*	*Lys5 from induced E. coli cells
MW	Penicillium chrysogenum	154900	*	*analysis of the nucleotide sequence of the 5.1-kb region
MW	Saccharomyces cerevisiae	155000	*	*full-length Lys2 from induced E. coli cells
MW	Penicillium chrysogenum	155000	*	*1 * 155000, SDS-PAGE
MW	Candida maltosa	160000	*	*gel filtration
MW	Penicillium chrysogenum	171000	*	*gel filtration
MW	Saccharomyces cerevisiae	180000	*	*gel filtration
MW	Rattus norvegicus	250000	*	*gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	L-lysine degradation XI (mammalian)	*	*
PATH	*	Lysine degradation	*	*
PATH	*	lysine metabolism	*	*
PATH	*	Metabolic pathways	*	*
SA	Blastobotrys adeninivorans	-999	*	*
SA	Saccharomyces cerevisiae	-999	*	*
SA	Schizosaccharomyces pombe	-999	*	*
SA	Candida albicans	-999	*	*
SA	Saccharomyces cerevisiae	-999	*	*
SA	Acremonium chrysogenum	-999	*	*
SA	Candida albicans	-999	*	*
SA	Penicillium chrysogenum	-999	*	*
SA	Homo sapiens	0.00077	*	*cytosol fraction
SA	Candida maltosa	0.0063	*	*5 mM L-lysine as supplement during growth of the enzyme
SA	Candida maltosa	0.0072	*	*
SA	Candida maltosa	0.0072	*	*no supplement added during growth of the enzyme
SA	Meyerozyma guilliermondii	0.00996	*	*wild type
SA	Meyerozyma guilliermondii	0.0102	*	*lysine auxotropic mutant G16
SA	Meyerozyma guilliermondii	0.0105	*	*lysine auxotropic mutant G12
SA	Candida maltosa	0.0108	*	*lysine auxotropic mutants G108 and G358
SA	Candida maltosa	0.0114	*	*lysine auxotropic mutant G285
SA	Candida maltosa	0.0138	*	*10 mM amitrole as supplement during growth of the enzyme
SA	Rattus norvegicus	0.185	*	*
SA	Rhodococcus sp.	1.44	*	*
SA	Pseudomonas putida	4.9	*	*after purification, gel fraction
SA	Pseudomonas sp.	4.9	*	*after purification, gel fraction
