KM	Clostridium autoethanogenum	-999	more	*Km value of NADH is below 0.5 mM, of NADPH is above 1 mM
SA	Clostridium autoethanogenum	7	*	*formate formation reaction, pH 7.5, 37&deg;C
SA	Clostridium autoethanogenum	8.7	*	*H2 formation reaction, pH 7.5, 37&deg;C
SA	Clostridium autoethanogenum	13	*	*substrate H2, pH 6.5, 37&deg;C
SA	Clostridium autoethanogenum	15.2	*	*substrate formate, pH 7.5, 37&deg;C
SA	Clostridium autoethanogenum	26.5	*	*H2 formation reaction, pH 6.0, 37&deg;C
SA	Clostridium autoethanogenum	29.2	*	*substrate H2, pH 7.5, 37&deg;C
SA	Clostridium autoethanogenum	32	*	*substrate H2, pH 6.5, 37&deg;C
SA	Clostridium autoethanogenum	35	*	*formate formation, substrates CO2 and H2, pH 7.5, 37&deg;C
SA	Clostridium autoethanogenum	41	*	*formate formation, substrates CO2 and H2, pH 7.0, 37&deg;C
SA	Clostridium autoethanogenum	18000	*	*substrates H2 and methyl viologen, pH 7.5, 37&deg;C
