KM	Peptoclostridium acidaminophilum	-999	more	*kinetics of the DTT-dependent peroxidase activity of the protein B complex
MW	Acetoanaerobium sticklandii	-999	*	*molecular mass is depending on the salt concentration present
MW	Peptoclostridium litorale	16700	*	*selenoprotein A, 1 * 16700, amino acid sequence
MW	Acetoanaerobium sticklandii	17011	*	*1 * 17011 calculated from amino acid sequence
MW	Acetoanaerobium sticklandii	17022	*	*selenoprotein A, 1 * 17022, mass spectroscopy
MW	Acetoanaerobium sticklandii	17022	*	*selenoprotein A, 1 * 17022, mass spectroscopy
MW	Treponema denticola	18000	*	*selenoprotein A, 1 * 18000
MW	Peptoclostridium acidaminophilum	18500	*	*selenoprotein A, 1 * 18500, SDS-PAGE, the two selenoproteins exhibit very similar N-terminal amino acid sequences
MW	Peptoclostridium litorale	18500	*	*selenoprotein A, 1 * 18500, SDS-PAGE, the two selenoproteins exhibit very similar N-terminal amino acid sequences
MW	Acetoanaerobium sticklandii	21162	*	*selenoprotein B, alpha,beta, 1 * 21162 + 1 * 26295, mass spectroscopy, amino acid sequence
MW	Peptoclostridium acidaminophilum	22000	*	*selenoprotein B, alpha,beta,gamma, 2 * 22000 + 2 * 25000 + 2 * 47000
MW	Peptoclostridium acidaminophilum	25000	*	*selenoprotein B, alpha,beta,gamma, 2 * 22000 + 2 * 25000 + 2 * 47000
MW	Acetoanaerobium sticklandii	26295	*	*selenoprotein B, alpha,beta, 1 * 21162 + 1 * 26295, mass spectroscopy, amino acid sequence
MW	Acetoanaerobium sticklandii	40000	*	*protein C, x * 40000 + x * 54000
MW	Tissierella creatinophila	40000	*	*protein C, x * 40000 + x * 54000
MW	Treponema denticola	40000	*	*protein C, x * 40000 + x * 54000
MW	Treponema denticola	45000	*	*selenoprotein B, 1 * 45000, SDS-PAGE
MW	Peptoclostridium acidaminophilum	47000	*	*selenoprotein B, alpha,beta,gamma, 2 * 22000 + 2 * 25000 + 2 * 47000
MW	Peptoclostridium litorale	47000	*	*selenoprotein B, 1 * 47000, amino acid sequence
MW	Peptoclostridium acidaminophilum	48000	*	*protein C, alpha,beta, 4 * 57000 + 4 * 48000, SDS-PAGE
MW	Acetoanaerobium sticklandii	54000	*	*protein C, x * 40000 + x * 54000
MW	Tissierella creatinophila	54000	*	*protein C, x * 40000 + x * 54000
MW	Treponema denticola	54000	*	*protein C, x * 40000 + x * 54000
MW	Peptoclostridium acidaminophilum	57000	*	*protein C, alpha,beta, 4 * 57000 + 4 * 48000, SDS-PAGE
MW	Acetoanaerobium sticklandii	200000	*	*protein C, gel filtration
MW	Tissierella creatinophila	200000	*	*protein C, gel filtration
MW	Treponema denticola	200000	*	*protein C, gel filtration
MW	Peptoclostridium acidaminophilum	420000	*	*protein component C, gel filtration
PATH	*	glycine degradation (Stickland reaction)	*	*
PATH	*	purine metabolism	*	*
PATH	*	purine nucleobases degradation I (anaerobic)	*	*
SA	Peptoclostridium acidaminophilum	-999	*	*
SA	Peptoclostridium acidaminophilum	-999	*	*the protein B complex shows 1.7 U/mg peroxidase activity with DTT and cumene hydroperoxide as substrates
SA	Acetoanaerobium sticklandii	5.5	*	*protein B of enzyme
SA	Peptoclostridium acidaminophilum	51.3	*	*protein C of enzyme
SA	Peptoclostridium acidaminophilum	352	*	*substrate-specific selenoprotein B of enzyme
