KM	Arabidopsis thaliana	0.0016	(+)-pinoresinol	*at pH 7.5 and 30&deg;C
MW	Sphingobium sp.	30000	*	*gel filtration
MW	Sphingobium sp.	36000	*	*1 * 36000, recombinant enzyme, SDS-PAGE
MW	Linum corymbulosum	36400	*	*x * 36400, calculated from amino acid sequence
MW	Sphingobium sp.	36837	*	*1 * 36837, calculated from amino acid sequence
MW	Forsythia x intermedia	39400	*	*x * 39400, calculated from amino acid sequence
MW	Forsythia x intermedia	59000	*	*gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Biosynthesis of various secondary metabolites - part 2	*	*
PATH	*	justicidin B biosynthesis	*	*
PATH	*	matairesinol biosynthesis	*	*
SA	Novosphingobium aromaticivorans	-999	*	*1 micromol/min/mg specific activity toward (+/-)-lariciresinol in the presence of NADPH, at pH 7.0 and 30&deg;C
SA	Sphingobium sp.	-999	*	*1 micromol/mg/min specific activity towards (+/-)-lariciresinol in the presence of NADPH, at pH 7.0 and 30&deg;C
SA	Forsythia x intermedia	0.000083	*	*crude extract, at pH 7.4 and 30&deg;C
SA	Forsythia x intermedia	0.255	*	*after 3060fold purification, at pH 7.4 and 30&deg;C
SA	Novosphingobium aromaticivorans	32	*	*toward (+/-)-pinoresinol in the presence of NADPH, at pH 7.0 and 30&deg;C
SA	Sphingobium sp.	46	*	*toward (+/-)-syringaresinol in the presence of NADPH, at pH 7.0 and 30&deg;C
SA	Novosphingobium aromaticivorans	61	*	*toward (+/-)-syringaresinol in the presence of NADPH, at pH 7.0 and 30&deg;C
SA	Forsythia x intermedia	82.18	*	*using (+)-pinoresinol and [4R]-NADPH as substrates, at pH 8.0 and 30&deg;C
