KCAT	Solanum lycopersicum	-999	more	*for oxidative half-reaction, kox of trans-hex-2-2enal is 0.3 per sec
KCAT	Oryza sativa	6.94	2-Cyclohexen-1-ol	*pH 7.5, 25&deg;C
KCAT	Oryza sativa	8.65	2-Cyclohexen-1-ol	*pH 7.5, 25&deg;C
KCAT	Oryza sativa	9.58	2-Cyclohexen-1-ol	*pH 7.5, 25&deg;C
KCAT	Oryza sativa	9.65	2-Cyclohexen-1-ol	*pH 7.5, 25&deg;C
KCAT	Oryza sativa	10.22	2-Cyclohexen-1-ol	*pH 7.5, 25&deg;C
KCAT	Solanum lycopersicum	14	trans-hex-2-enal	*
KM	Zea mays	0.013	NADPH	*
KM	Arabidopsis thaliana	0.035	(9S,13S)-12-oxophytodienoic acid	*
KM	Pisum sativum	0.043	(15Z)-12-oxophyto-10,15-dienoate	*pH 7.5, 25&deg;C, recombinant enzyme
KM	Arabidopsis sp.	0.045	12-oxo-cis-phythodienoic acid	*
KM	Oryza sativa	0.05283	2-Cyclohexen-1-ol	*pH 7.5, 25&deg;C
KM	Pisum sativum	0.055	2-cyclohexen-1-one	*pH 7.5, 25&deg;C, recombinant enzyme
KM	Oryza sativa	0.0934	2-Cyclohexen-1-ol	*pH 7.5, 25&deg;C
KM	Oryza sativa	0.115	2-Cyclohexen-1-ol	*pH 7.5, 25&deg;C
KM	Oryza sativa	0.134	2-Cyclohexen-1-ol	*pH 7.5, 25&deg;C
KM	Oryza sativa	0.148	2-Cyclohexen-1-ol	*pH 7.5, 25&deg;C
KM	Zea mays	0.19	12-oxophytodienoic acid	*
KM	Arabidopsis sp.	2.5	cyclohexenone	*
KM	Zea mays	4.2	NADH	*
MW	Hordeum vulgare	40300	*	*calculated from cDNA
MW	Oryza sativa	41000	*	*x * 41000, recombinant His-tagged enzyme, SDS-PAGE
MW	Pseudomonas putida	41100	*	*2 * 41100
MW	Arabidopsis thaliana	41170	*	*predicted from amino acid sequence
MW	Capnoides sempervirens	42000	*	*OPRI, gel filtration
MW	Capnoides sempervirens	42500	*	*OPRII, gel filtration
MW	Zea mays	54000	*	*gel filtration
MW	Pseudomonas putida	82200	*	*
PATH	*	alpha-Linolenic acid metabolism	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	jasmonic acid biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
SA	Pisum sativum	-999	*	*
SA	Oryza sativa	-999	*	*jasmonic acid deficiency in OPR-interfering RNA plants does not influence resistance to Magnaporthe grisea or the pathogenesis-related gene expressions in these plants; jasmonic acid deficiency in OPR-interfering RNA plants does not influence resistance to Magnaporthe grisea or the pathogenesis-related gene expressions in these plants
SA	Arabidopsis thaliana	-999	*	*OPR1-overexpressing lines have seedling root lengths significantly longer than those of wild-type plants when growing on solid medium containing 2 microM 2,4,6-trinitrotoluene, enhanced tolerance to 2,4,6-trinitrotoluene agrees with that observed in transgenic tobacco, OPR1-overexpressing lines 1.1 and 9.4 show enhanced 2,4,6-trinitrotoluene uptake; OPR2-overexpressing lines have seedling root lengths significantly longer than those of wild-type plants when growing on solid medium containing 2 microM 2,4,6-trinitrotoluene, enhanced tolerance to 2,4,6-trinitrotoluene agrees with that observed in transgenic tobacco
