KM	Staphylococcus aureus	-999	more	*kinetics of recombinant wild-type and mutant enzymes
KM	Escherichia coli	0.001	UDP-N-acetylenolpyruvylglucosamine	*10 mM Mg2+, 50 mM Tris-HCl, at pH 8.0, temperature not specified in the publication
KM	Escherichia coli	0.0016	NADPH	*in 10 mM PIPES-NaOH (pH 7.0), 3 mM KCl, 2 mM dithiothreitol, 1 mM MgCl, temperature not specified in the publication
KM	Staphylococcus aureus	0.0033	NADPH	*pH 8.0, 22&deg;C, recombinant mutant S226A
KM	Escherichia coli	0.0039	UDP-N-acetylenolpyruvylglucosamine	*10 mM Mg2+, 50 mM Tris-HCl, at pH 8.0 temperature not specified in the publication
KM	Escherichia coli	0.0046	NADPH	*
KM	Escherichia coli	0.0046	NADPH	*10 mM Mg2+, 50 mM Tris-HCl, at pH 8.0, temperature not specified in the publication
KM	Escherichia coli	0.0065	UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine	*
KM	Staphylococcus aureus	0.008	NADPH	*pH 8.0, 22&deg;C, recombinant mutant N71A
KM	Staphylococcus aureus	0.0095	NADPH	*pH 8.0, 22&deg;C, recombinant mutant Y175F
KM	Escherichia coli	0.0125	UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine	*
KM	Staphylococcus aureus	0.014	NADPH	*pH 8.0, 22&deg;C, recombinant mutant E296A
KM	Escherichia coli	0.0199	NADPH	*
KM	Escherichia coli	0.02	UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine	*in the presence of 50 mM K+
KM	Escherichia coli	0.022	NADPH	*in the presence of 50 mM K+
KM	Staphylococcus aureus	0.023	NADPH	*pH 8.0, 22&deg;C, recombinant mutant R176A
KM	Staphylococcus aureus	0.024	NADPH	*pH 8.0, 22&deg;C, recombinant mutant H259A
KM	Staphylococcus aureus	0.036	NADPH	*pH 8.0, 22&deg;C, recombinant mutant R213A
KM	Staphylococcus aureus	0.038	NADPH	*pH 8.0, 22&deg;C, recombinant wild-type enzyme
KM	Enterobacter cloacae	0.04	UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine	*
KM	Mycobacterium tuberculosis	0.0425	NADPH	*pH and temperature not specified in the publication
KM	Enterobacter cloacae	0.049	NADPH	*
KM	Streptococcus pneumoniae	0.079	NADPH	*
KM	Streptococcus pneumoniae	0.089	UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine	*
MW	Escherichia coli	13500	*	*1 * 21500 + 1 * 13500, SDS-PAGE
MW	Escherichia coli	21500	*	*1 * 21500 + 1 * 13500, SDS-PAGE
MW	Escherichia coli	35000	*	*gel filtration
MW	Streptococcus pneumoniae	35000	*	*reducing SDS-PAGE
MW	Escherichia coli	35500	*	*gel filtration
MW	Enterobacter cloacae	35500	*	*gel filtration
MW	Escherichia coli	37800	*	*x * 37800
MW	Escherichia coli	37850	*	*determined by cDNA sequence
MW	Escherichia coli	38340	*	*electrospray mass spectrometry of recombinant protein
MW	Mycobacterium tuberculosis	40000	*	*ESI mass spectrometry
PATH	*	Amino sugar and nucleotide sugar metabolism	*	*
PATH	*	anhydromuropeptides recycling I	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Peptidoglycan biosynthesis	*	*
PATH	*	peptidoglycan biosynthesis	*	*
PATH	*	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	*	*
PATH	*	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	*	*
PATH	*	UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	*	*
SA	Staphylococcus aureus	-999	*	*
SA	Enterobacter cloacae	0.015	*	*
SA	Enterobacter cloacae	1.84	*	*
SA	Escherichia coli	3.32	*	*
SA	Escherichia coli	31.4	*	*
