KM	Hordeum vulgare	0.6	red chlorophyll catabolite	*
MW	Hordeum vulgare	31000	*	*2 * 31000, SDS-PAGE
MW	Arabidopsis thaliana	31000	*	*x * 35000, precursor enzyme, SDS-PAGE, x * 31000, mature enzyme, SDS-PAGE
MW	Arabidopsis thaliana	32000	*	*2 * 32000, about, sequence calculation; 2 * 32000, predicted by amino acid sequence, each subunit folds in an alpha/beta/alpha sandwich
MW	Arabidopsis thaliana	35000	*	*x * 35000, precursor enzyme, SDS-PAGE, x * 31000, mature enzyme, SDS-PAGE
MW	Hordeum vulgare	58000	*	*gel filtration
MW	Arabidopsis thaliana	60000	*	*about, gel filtration; dimer, determined by gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	chlorophyll a degradation I	*	*
PATH	*	chlorophyll a degradation II	*	*
PATH	*	Porphyrin and chlorophyll metabolism	*	*
SA	Arabidopsis thaliana	-999	*	*the loss of RCCR in acd1/pao1 and acd2 mutants results n the formation of a lesion mimic phenotype, because of the accumulation of respective photodynamic chlorophyll breakdown intermediates
SA	Arabidopsis thaliana	-999	*	*RCCR is constitutively active and its activity is rather constant during all phases of leaf development
