KCAT	Avena sativa	1.67	biliverdin IXa	*above
KM	Avena sativa	-999	more	*sub-micromolar Km for biliverdin IXa
KM	Avena sativa	0.0012	Ferredoxin	*Porphyra umbilicalis ferredoxin
KM	Avena sativa	0.0035	Ferredoxin	*Spinacia oleracea ferredoxin
MW	Avena sativa	29000	*	*SDS-PAGE
MW	Arabidopsis thaliana	33000	*	*calculated from amino acid sequence, mature protein
MW	Arabidopsis thaliana	33400	*	*SDS-PAGE
MW	Arabidopsis thaliana	38100	*	*calculated from amino acid sequence, precursor protein with putative N-terminal plastid transit peptide
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	phytochromobilin biosynthesis	*	*
PATH	*	Porphyrin and chlorophyll metabolism	*	*
SA	Cucumis sativus	0.0000004	*	*in etiolated plastids
SA	Cucumis sativus	0.0000011	*	*specific activity of plastid protein
