KM	Pseudomonas putida	0.02	2-Furoyl-CoA	*
MW	Pseudomonas putida	25000	*	*alpha2,beta2, 2 * 25000 + 2 * 55000, SDS-PAGE
MW	Pseudomonas putida	55000	*	*alpha2,beta2, 2 * 25000 + 2 * 55000, SDS-PAGE
MW	Pseudomonas putida	100000	*	*gel filtration
MW	Pseudomonas putida	150000	*	*PAGE, gel filtration
MW	Pseudomonas putida	900000	*	*gel filtration
MW	Pseudomonas putida	3270000	*	*sedimentation equilibrium
PATH	*	5-hydroxymethylfurfural degradation	*	*
PATH	*	furfural degradation	*	*
PATH	*	Furfural degradation	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Pseudomonas putida	-999	*	*
SA	Pseudomonas putida	0.09	*	*micromol 2-furoyl-CoA/min/mg, in crude extract
