KM	Vibrio alginolyticus	1.51	NADPH	*pH 7.5, 37&Acirc;&deg;C, with a Vmax of 31 micromol carboxynorspermidine/min/mg protein formed
KM	Vibrio alginolyticus	2.97	NADH	*pH 7.5, 37&Acirc;&deg;C, with a Vmax of 13.5 micromol carboxynorspermidine/min/mg protein formed
KM	Vibrio alginolyticus	4.68	L-aspartic 4-semialdehyde	*pH 7.5, 37&Acirc;&deg;C, Vmax: 35 micromol/min/mg carboxynorspermidine
KM	Vibrio alginolyticus	-999	more	*the Km for the Schiff base is 4.68 mM, the intermediate formed from L-aspartic 4-semialdehyde and 1,3-diaminopropane, which is reduced to carboxynorspermidine
MW	Vibrio alginolyticus	45100	*	*2 * 45100, SDS-PAGE, indicates that the native enzyme is composed of two subunits of similar size
MW	Vibrio alginolyticus	93500	*	*gel filtration
SA	Vibrio alginolyticus	-999	*	*in the presence of 5 mM nospermidine, specific activity is reduced by 70%
SA	Vibrio alginolyticus	0.0039	*	*addition of 5 mM norspermidine to the growth medium, 27% compared to the specific activity without addition, pH 7.5, 37&deg;C
SA	Vibrio alginolyticus	0.0108	*	*addition of 5 mM spermidine to the growth medium, 74% compared to the specific activity without addition, pH 7.5, 37&deg;C
SA	Vibrio alginolyticus	0.01455	*	*without addition of norspermidine or spermidine to the growth medium, pH 7.5, 37&deg;C
SA	Vibrio alginolyticus	31	*	*micromol carboxynorspermidine/min-1/mg protein, pH 7.5, 37&deg;C
