KCAT	Paenarthrobacter nicotinovorans	19.8	6-hydroxy-D-nicotine	*30&Acirc;&deg;C pH 9.2
KM	Paenarthrobacter nicotinovorans	0.05	6-hydroxy-D-nicotine	*
KM	Paenarthrobacter nicotinovorans	0.05	6-hydroxy-D-nicotine	*
KM	Paenarthrobacter nicotinovorans	0.1	6-hydroxy-D-nicotine	*
KM	Paenarthrobacter nicotinovorans	0.2	6-amino-D-nicotine	*
MW	Paenarthrobacter nicotinovorans	48000	*	*SDS-PAGE
MW	Paenarthrobacter nicotinovorans	48980	*	*with FAD, amino acid analysis
MW	Paenarthrobacter nicotinovorans	50000	*	*SDS-PAGE
MW	Paenarthrobacter nicotinovorans	52000	*	*expression in Escherichia coli maxicells
MW	Paenarthrobacter nicotinovorans	52000	*	*expression in Escherichia coli maxicells
MW	Paenarthrobacter nicotinovorans	53000	*	*sedimentation equilibrium and SDS-PAGE
MW	Paenarthrobacter nicotinovorans	56000	*	*fusion protein between 6-hydroxy-D-nicotine oxidase and the mitochondrial targeting sequence of Neurospora crassa F0-ATPase subunit 9
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	Nicotinate and nicotinamide metabolism	*	*
SA	Paenarthrobacter nicotinovorans	0.06	*	*expressed in Escherichia coli HB101 cells
SA	Paenarthrobacter nicotinovorans	0.08	*	*wild type enzyme
SA	Paenarthrobacter nicotinovorans	22.5	*	*
SA	Paenarthrobacter nicotinovorans	28	*	*
SA	Paenarthrobacter nicotinovorans	32	*	*
