KM	Mus musculus	0.015	4-Nitroquinoline N-oxide	*
MW	Mus musculus	200000	*	*
SA	Rattus norvegicus	0.032	*	*activity in cheek mucosa
SA	Oryctolagus cuniculus	0.07	*	*activity in corpus ventriculi and pyloric antrum
SA	Rattus norvegicus	0.084	*	*activity in tongue mucosa
SA	Rattus norvegicus	0.1	*	*activity in duodenum
SA	Felis catus	0.12	*	*activity in esophagus
SA	Rattus norvegicus	0.15	*	*activity in ileum and rectum
SA	Cricetinae	0.18	*	*activity in esophagus and caecum, cofactor NADH
SA	Rattus norvegicus	0.25	*	*activity in forestomach and colon
SA	Canis lupus familiaris	0.3	*	*activity in cytosol from mucous membrane of esophagus
SA	Cavia porcellus	0.4	*	*activity in pyloric antrum
SA	Rattus norvegicus	0.4	*	*activity in glandular stomach and caecum
SA	Rattus norvegicus	0.5	*	*activity in esophagus
