KCAT	Homo sapiens	0.000133	farnesyl-L-cysteine	*
KM	Homo sapiens	0.05	O2	*Km below
KM	Arabidopsis thaliana	0.045	S-(2E,6E)-farnesyl-L-cysteine	*pH 7.5, 30&Acirc;&deg;C
KM	Homo sapiens	0.003	farnesyl-L-cysteine	*
KM	Bos taurus	0.00069	farnesylcysteine	*
KM	Bos taurus	0.00084	geranylgeranylcysteine	*
MW	Arabidopsis thaliana	55000	*	*x * 67000, recombinant enzyme, SDS-PAGE, x * 55300, about, sequence calculation, x * 55000, deglycosylated recombinant enzyme, SDS-PAGE
MW	Homo sapiens	55300	*	*mass spectroscopy
MW	Arabidopsis thaliana	55300	*	*x * 67000, recombinant enzyme, SDS-PAGE, x * 55300, about, sequence calculation, x * 55000, deglycosylated recombinant enzyme, SDS-PAGE
MW	Bos taurus	63000	*	*SDS-PAGE
MW	Arabidopsis thaliana	67000	*	*x * 67000, recombinant enzyme, SDS-PAGE, x * 55300, about, sequence calculation, x * 55000, deglycosylated recombinant enzyme, SDS-PAGE
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Terpenoid backbone biosynthesis	*	*
