KCAT	Desulfovibrio desulfuricans	-999	more	*
KM	Thiobacillus thioparus	0.0025	AMP	*reaction with cytochrome c
KM	Allochromatium vinosum	0.01	AMP	*
KM	Thiobacillus denitrificans	0.02	AMP	*
KM	Thiobacillus denitrificans	0.041	AMP	*
KM	Thiobacillus denitrificans	0.041	AMP	*reaction with ferricyanide
KM	Thiocapsa roseopersicina	0.05	AMP	*reaction with cytochrome c
KM	Desulfovibrio vulgaris	0.05	AMP	*
KM	Desulfobulbus propionicus	0.09	AMP	*reaction with ferricyanide
KM	Desulfobulbus propionicus	0.091	AMP	*reaction with cytochrome c
KM	Thiobacillus thioparus	0.1	AMP	*reaction with ferricyanide
KM	Prosthecochloris vibrioformis	0.13	AMP	*
KM	Desulfovibrio desulfuricans	0.16	AMP	*
KM	Desulfovibrio desulfuricans	0.17	AMP	*
KM	Desulfovibrio vulgaris	0.18	AMP	*reaction with cytochrome c
KM	Chlorobium limicola	0.2	AMP	*
KM	Desulfovibrio vulgaris	0.3	AMP	*reaction with ferricyanide
KM	Desulfovibrio vulgaris	0.3	AMP	*
KM	Desulfovibrio salexigens	0.31	AMP	*
KM	Desulfovibrio desulfuricans	0.4	AMP	*
KM	archaebacterium	1	AMP	*
KM	Ulva intestinalis	0.0002	dithiothreitol	*
KM	Desulfobulbus propionicus	0.021	cytochrome c	*
KM	Thiocapsa roseopersicina	0.033	cytochrome c	*
KM	Thiobacillus thioparus	0.017	sulfite	*reaction with cytochrome c
KM	Desulfobulbus propionicus	0.071	sulfite	*reaction with cytochrome c
KM	Thiocapsa roseopersicina	0.073	sulfite	*reaction with ferricyanide
KM	Thiocapsa roseopersicina	0.093	sulfite	*reaction with cytochrome c
KM	Desulfovibrio vulgaris	0.13	sulfite	*
KM	Prosthecochloris vibrioformis	0.17	sulfite	*
KM	Desulfovibrio desulfuricans	0.18	sulfite	*
KM	Desulfovibrio vulgaris	0.2	sulfite	*
KM	Desulfovibrio vulgaris	0.34	sulfite	*
KM	Desulfovibrio gigas	0.34	sulfite	*
KM	Desulfovibrio vulgaris	0.34	sulfite	*
KM	Desulfovibrio vulgaris	0.6	sulfite	*
KM	Desulfovibrio salexigens	0.76	sulfite	*
KM	Desulfovibrio desulfuricans	0.78	sulfite	*
KM	Chlorobium limicola	0.91	sulfite	*
KM	Thiobacillus denitrificans	1.2	sulfite	*
KM	Desulfobulbus propionicus	1.3	sulfite	*reaction with ferricyanide
KM	Archaeoglobus fulgidus	1.3	sulfite	*
KM	Thiobacillus denitrificans	1.5	sulfite	*
KM	Thiocapsa roseopersicina	1.5	sulfite	*reaction with ferricyanide
KM	Thiobacillus denitrificans	1.5	sulfite	*reaction with ferricyanide
KM	Allochromatium vinosum	1.7	sulfite	*
KM	Thiobacillus thioparus	2.5	sulfite	*reaction with ferricyanide
KM	Desulfovibrio vulgaris	3.1	CMP	*reaction with cytochrome c
KM	Pseudomonas aeruginosa	2.7	thioredoxin	*thioredoxin originating from Clamydomonas reinhardtii
KM	Pseudomonas aeruginosa	8.6	thioredoxin	*thioredoxin originating from Escherichia coli
KM	Desulfobulbus propionicus	0.089	ferricyanide	*
KM	Chlorobium limicola	0.091	ferricyanide	*
KM	Thiocapsa roseopersicina	0.13	ferricyanide	*
KM	Allochromatium vinosum	0.16	ferricyanide	*
KM	Desulfovibrio gigas	0.16	ferricyanide	*
