KM	Pelobacter acidigallici	0.71	1,2,3,5-Tetrahydroxybenzene	*
MW	Pelobacter acidigallici	31221	*	*alpha,beta, 1 * 99260 + 1 * 31221, calculation from amino acid sequence
MW	Pelobacter acidigallici	31300	*	*alpha,beta, 1 * 100400 + 1 * 31300, mass spectrometry
MW	Pelobacter acidigallici	99260	*	*alpha,beta, 1 * 99260 + 1 * 31221, calculation from amino acid sequence
MW	Pelobacter acidigallici	100400	*	*alpha,beta, 1 * 100400 + 1 * 31300, mass spectrometry
MW	Pelobacter acidigallici	130500	*	*excluding cofactors, calculation from amino acid sequence
MW	Pelobacter acidigallici	133000	*	*mass spectrometry
MW	Pelobacter acidigallici	160000	*	*polar plot of self-rotation function
PATH	*	Aminobenzoate degradation	*	*
PATH	*	gallate degradation	*	*
PATH	*	gallate degradation III (anaerobic)	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Pelobacter acidigallici	-999	*	*oxides tested as cosubstrates
SA	Pelobacter acidigallici	0.23	*	*dimethyl sulfoxide
SA	Pelobacter massiliensis	0.23	*	*1,2,3,5-tetrahydroxybenzene + resorcinol
SA	Pelobacter massiliensis	0.34	*	*1,2,3,5-tetrahydroxybenzene + hydroxyhydroquinone
SA	Pelobacter massiliensis	0.4	*	*1,2,4,5-tetrahydroxybenzene
SA	Pelobacter acidigallici	0.89	*	*
SA	Pelobacter acidigallici	4.6	*	*
