MW	Homo sapiens	40998	*	*x * 40998, calculated from sequence
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	ubiquinol-10 biosynthesis (eukaryotic)	*	*
PATH	*	ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast)	*	*
PATH	*	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	*	*
PATH	*	ubiquinol-6 bypass biosynthesis (eukaryotic)	*	*
PATH	*	ubiquinol-7 biosynthesis (eukaryotic)	*	*
PATH	*	ubiquinol-8 biosynthesis (eukaryotic)	*	*
PATH	*	ubiquinol-9 biosynthesis (eukaryotic)	*	*
PATH	*	Ubiquinone and other terpenoid-quinone biosynthesis	*	*
