KM	Pseudomonas denitrificans (nomen rejiciendum)	0.0022	Precorrin-6Y	*
MW	Methanothermobacter thermautotrophicus	21000	*	*4 * 21000, static light scattering and SDS-PAGE
MW	Pseudomonas denitrificans (nomen rejiciendum)	42900	*	*x * 42900, calculation from nucleotide sequence
MW	Pseudomonas denitrificans (nomen rejiciendum)	42952	*	*2 * 42952, calculation from nucleotide sequence
MW	Pseudomonas denitrificans (nomen rejiciendum)	43000	*	*x * 43000, SDS-PAGE
MW	Methanothermobacter thermautotrophicus	81000	*	*static light scattering
MW	Pseudomonas denitrificans (nomen rejiciendum)	320000	*	*HPLC gel filtration
PATH	*	Metabolic pathways	*	*
PATH	*	Porphyrin and chlorophyll metabolism	*	*
PATH	*	vitamin B12 metabolism	*	*
SA	Pseudomonas denitrificans (nomen rejiciendum)	0.0057	*	*
