KM	Methanosarcina barkeri	-999	more	*kinetic analysis, overview
KM	Methanosarcina barkeri	5.5	a [Co(I) methylated-thiol-specific corrinoid protein]	*recombinant enzyme, pH 7.0, 37&deg;C
KM	Methanosarcina barkeri	10	methylmercaptopropionate	*pH 7.0, 37&deg;C
KM	Methanosarcina barkeri	10.8	coenzyme M	*recombinant enzyme, pH 7.0, 37&deg;C
KM	Methanosarcina barkeri	33	Dimethylsulfide	*recombinant enzyme, pH 7.0, 37&deg;C
MW	Methanosarcina barkeri	41000	*	*2 * 41000, recombinant enzyme, SDS-PAGE
MW	Methanosarcina barkeri	77000	*	*recombinant enzyme, gel filtration
MW	Methanosarcina barkeri	480000	*	*
MW	Methanosarcina barkeri	480000	*	*
MW	Methanosarcina barkeri	480000	*	*gel filtration
PATH	*	Metabolic pathways	*	*
PATH	*	methanogenesis from dimethylsulfide	*	*
PATH	*	methanogenesis from methanethiol	*	*
PATH	*	methanogenesis from methylthiopropanoate	*	*
PATH	*	Sulfur metabolism	*	*
SA	Methanosarcina barkeri	0.078	*	*purified recombinant enzyme, substrate is dimethylsulfide, pH 7.0, 37&Acirc;&deg;C
