KM	Oryza sativa	-999	more	*Michaelis-Menten kinetics
KM	Oncorhynchus tshawytscha	0.005	N-acetylserotonin	*
KM	Rattus norvegicus	0.005	S-adenosyl-L-methionine	*
KM	Bos taurus	0.00856	S-adenosyl-L-methionine	*
KM	Ovibos moschatus	0.015	N-acetylserotonin	*
KM	Bos taurus	0.0291	N-acetylserotonin	*
KM	Rattus norvegicus	0.04	N-acetylserotonin	*
KM	Rattus norvegicus	0.04	S-adenosyl-L-methionine	*
KM	Bos taurus	0.046	S-adenosyl-L-methionine	*
KM	Bos taurus	0.054	N-acetylserotonin	*
KM	Rattus norvegicus	0.1	N-acetylserotonin	*
KM	Oncorhynchus tshawytscha	0.11	S-adenosyl-L-methionine	*
KM	Arabidopsis thaliana	0.233	N-acetylserotonin	*pH 7.8, 30&deg;C
KM	Oryza sativa	0.243	N-acetylserotonin	*pH 7.8, 30&deg;C
KM	Arabidopsis thaliana	0.456	N-acetylserotonin	*pH 7.8, 37&deg;C
KM	Oryza sativa	0.864	N-acetylserotonin	*recombinant enzyme, pH not specified in the publication, 30&deg;C
KM	Arabidopsis thaliana	1.036	serotonin	*pH 8.8, 37&deg;C
MW	Bos taurus	21800	*	*x * 21800
MW	Rattus norvegicus	38000	*	*x * 38000, SDS-PAGE
MW	Bos taurus	38000	*	*x * 38000, SDS-PAGE
MW	Bos taurus	39000	*	*2 * 39000, SDS-PAGE
MW	Gallus gallus	39000	*	*2 * 39000, SDS-PAGE
MW	Homo sapiens	42000	*	*x * 42000, SDS-PAGE
MW	Bos taurus	76000	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	serotonin and melatonin biosynthesis	*	*
PATH	*	Tryptophan metabolism	*	*
SA	Bos taurus	-999	*	*enzyme assay
SA	Felis catus	-999	*	*enzyme assay
SA	Macaca mulatta	-999	*	*enzyme assay
SA	Arabidopsis thaliana	0.0000007	*	*purified recombinant enzyme, pH 7.8, 37&deg;C
SA	Oryza sativa	0.000007	*	*purified GST-tagged recombinant enzyme, pH not specified in the publication, 30&deg;C
SA	Oryza sativa	0.000013	*	*purified nontagged recombinant enzyme, pH not specified in the publication, 30&deg;C
SA	Oryza sativa	0.00003	*	*purified nontagged recombinant enzyme, pH not specified in the publication, 30&deg;C, at 10 mM substrate N-acetylserotonin concentration
