KM	Arabidopsis thaliana	0.00176	3,3',4',5,7-pentahydroxyflavone	*i.e. quercetin, 30&deg;C, pH not specified in the publication
KM	Arabidopsis thaliana	0.00338	3,3',4',5,5',7-hexahydroxyflavone	*i.e. mycricetin, 30&deg;C, pH not specified in the publication
KM	Hordeum vulgare	0.00618	5,7,3',4'-tetrahydroxyflavone	*30&deg;C
KM	Glycine max	0.011	S-adenosyl-L-methionine	*with luteolin as substrate
KM	Zea mays	0.0159	5,7,3',4'-tetrahydroxyflavone	*30&deg;C
KM	Glycine max	0.016	5,7,3',4'-tetrahydroxyflavone	*
KM	Glycine max	0.028	5,7,3'-trihydroxyflavone 7-O-glucoside	*
KM	Petroselinum crispum	0.031	5,7,3'-trihydroxyflavone 7-O-glucoside	*
KM	Glycine max	0.035	6,7-dihydroxy-3'-methoxyisoflavone	*
KM	Petroselinum crispum	0.035	quercetin	*
KM	Petroselinum crispum	0.046	5,7,3'-trihydroxyflavone	*
KM	Glycine max	0.075	5,7,3',4'-tetrahydroxyflavanone	*
KM	Oryza sativa	0.09	luteolin	*OMT-15, in 10 mM Tris-HCl buffer (pH 7.5), at 37&deg;C
KM	Oryza sativa	0.104	luteolin	*OMT-17, in 10 mM Tris-HCl buffer (pH 7.5), at 37&deg;C
KM	Petroselinum crispum	0.15	S-adenosyl-L-methionine	*with luteolin as substrate
KM	Glycine max	0.227	5-hydroxy-3-methoxy-4-hydroxycinnamic acid	*
KM	Glycine max	0.435	dihydroquercetin	*
KM	Petroselinum crispum	1.2	2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-2,3-dihydro-4H-chromen-4-one	*
MW	Oryza sativa	27800	*	*OMT-15, calculated from amino acid sequence
MW	Oryza sativa	30600	*	*recombinant OMT-17, SDS-PAGE
MW	Oryza sativa	31100	*	*recombinant OMT-15, SDS-PAGE
MW	Oryza sativa	32000	*	*OMT-17, calculated from amino acid sequence
MW	Hordeum vulgare	38700	*	*x * 38700, calculated from sequence
MW	Zea mays	39600	*	*x * 39600, calculated from sequence
MW	Arabidopsis thaliana	45000	*	*recombinant fusion protein containing a 3 kDa His tail, gel filtration
MW	Petroselinum crispum	48000	*	*gel filtration
MW	Glycine max	64000	*	*x * 64000, recombinant GST-tagged SOMT-9, SDS-PAGE
PATH	*	chrysoeriol biosynthesis	*	*
PATH	*	Flavone and flavonol biosynthesis	*	*
PATH	*	methylquercetin biosynthesis	*	*
PATH	*	phenylpropanoids methylation (ice plant)	*	*
PATH	*	polymethylated quercetin biosynthesis	*	*
PATH	*	quercetin sulfate biosynthesis	*	*
PATH	*	tricin biosynthesis	*	*
SA	Petroselinum crispum	0.000027	*	*
SA	Glycine max	0.0029	*	*
