KCAT	Salmonella enterica subsp. enterica serovar Typhimurium	0.167	protein L-glutamate	*
KM	Bos taurus	0.00087	S-adenosyl-L-methionine	*thymus enzyme
KM	Bacillus subtilis	0.002	S-adenosyl-L-methionine	*MCP methyltransferase I
KM	Bacillus subtilis	0.005	S-adenosyl-L-methionine	*
KM	Bacillus subtilis	0.005	S-adenosyl-L-methionine	*MCP methyltransferase II
KM	Salmonella enterica subsp. enterica serovar Typhimurium	0.01	S-adenosyl-L-methionine	*
KM	Salmonella enterica subsp. enterica serovar Typhimurium	0.01	S-adenosyl-L-methionine	*
KM	Salmonella enterica subsp. enterica serovar Typhimurium	0.017	S-adenosyl-L-methionine	*
KM	Bos taurus	0.1	histone	*
KM	Bos taurus	0.0077	follicle-stimulating hormone	*
KM	Bos taurus	0.046	gamma-Globulin	*
KM	Bos taurus	0.34	Pancreatic ribonuclease	*
MW	Mammalia	25000	*	*gel filtration
MW	Bacillus subtilis	30000	*	*gel filtration, SDS-PAGE
MW	Bacillus subtilis	30000	*	*gel filtration, SDS-PAGE
MW	Pseudomonas putida	32247	*	*1 * 32247, isoform CheR2, calculated from amino acid sequence
MW	Salmonella enterica subsp. enterica serovar Typhimurium	32900	*	*deduced from nucleotide sequence
MW	Salmonella enterica subsp. enterica serovar Typhimurium	33000	*	*gel filtration, SDS-PAGE
MW	Salmonella enterica subsp. enterica serovar Typhimurium	38000	*	*gel filtration
MW	Pseudomonas putida	38600	*	*1 * 38600, isoform CheR2, sedimentation equilibrium ultracentrifugation
MW	Bacillus subtilis	44000	*	*MCP methyltransferase I
MW	Bacillus subtilis	44000	*	*gel filtration; MCP methyltransferase I
MW	Arabidopsis thaliana	73000	*	*x * 73000, maltose binding protein-tagged enzyme, SDS-PAGE
SA	Crithidia luciliae	0.0000036	*	*methylation of histone II-A in purine starved cells
SA	Bacillus subtilis	0.000076	*	*
SA	Bacillus subtilis	0.0024	*	*
SA	Bos taurus	0.0043	*	*thymus enzyme
SA	Homo sapiens	0.027	*	*erythrocyte enzyme
SA	Bos taurus	0.03	*	*brain enzyme
SA	Salmonella enterica subsp. enterica serovar Typhimurium	0.398	*	*
