KM	Methanosarcina barkeri	40	methanol	*beta subunit MtaB
MW	Methanosarcina barkeri	24000	*	*alpha2,beta, 2 * 49000 + 1 * 24000, beta subunit MtaB harbours the corrinoid prosthetic group
MW	Methanosarcina barkeri	34000	*	*alpha2,beta, 2 * 34000 + 1 * 53000, SDS-PAGE in presence of 2-mercaptoethanol
MW	Methanosarcina barkeri	49000	*	*alpha2,beta, 2 * 49000 + 1 * 24000, beta subunit MtaB harbours the corrinoid prosthetic group
MW	Methanosarcina barkeri	53000	*	*alpha2,beta, 2 * 34000 + 1 * 53000, SDS-PAGE in presence of 2-mercaptoethanol
MW	Methanosarcina barkeri	121000	*	*gradient PAGE, gel filtration
MW	Methanosarcina barkeri	122000	*	*PAGE with different gel concentrations
MW	Methanosarcina barkeri	122000	*	*gel filtration
PATH	*	Methane metabolism	*	*
PATH	*	methanogenesis from methanol	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Methanosarcina barkeri	750	*	*
