KM	Pseudomonas aeruginosa	-999	more	*reaction kinetics for DapD, overview
KM	Escherichia coli	0.015	succinyl-CoA	*
KM	Escherichia coli	0.02	tetrahydrodipicolinate	*
KM	Escherichia coli	0.022	tetrahydrodipicolinate	*
KM	Escherichia coli	1	L-2-aminopimelate	*
KM	Escherichia coli	2	3,4-dihydro-2H-1,4-thiazine-3,5-dicarboxylic acid	*
KM	Pseudomonas aeruginosa	7	(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate	*pH 7.5, 22&deg;C
MW	Escherichia coli	31000	*	*2 * 31000, SDS-PAGE
MW	Escherichia coli	68000	*	*gel filtration
MW	Escherichia coli	72000	*	*sucrose density gradient centrifugation
MW	Mycobacterium tuberculosis	100000	*	*gel filtration, homotrimer
MW	Pseudomonas aeruginosa	110000	*	*recombinant DapD, gel filtration
PATH	*	L-lysine biosynthesis I	*	*
PATH	*	Lysine biosynthesis	*	*
PATH	*	lysine metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Escherichia coli	36	*	*
