KM	Saccharolobus solfataricus	0.0028	acetoin	*E1 complex, 80&deg;C, pH 7.0; E1 complex, 80&deg;C, pH 7.0
MW	Pseudomonas putida	34639	*	*x * 34639, calculated
MW	Clostridium magnum	35532	*	*x * 35532, subunit E1alpha, calculated
MW	Clostridium magnum	35541	*	*x * 35541, subunit E1beta, calculated
MW	Pseudomonas putida	37267	*	*x * 37267, calculated
MW	Alcaligenes eutrophus H16	136000	*	*gel filtration; gel filtration
MW	Clostridium magnum	138000	*	*gel filtration, component E1, i.e. acetoin:2,6-dichlorophenolindophenol oxidoreductase
MW	Saccharolobus solfataricus	142000	*	*gel filtration, E1 complex; gel filtration, E1 complex
MW	Pelobacter carbinolicus	143000	*	*gel filtration
PATH	*	acetoin degradation	*	*
PATH	*	acetoin degradation	*	*
SA	Alcaligenes eutrophus H16	2.15	*	*; 
